对应主索节点编号,下端点X坐标（米）,下端点Y坐标（米）,下端点Z坐标（米）,基准态时上端点X坐标（米）,基准态时上端点Y坐标（米）,基准态时上端点Z坐标（米）
A20,12.3782,51.2300,-299.9721,12.2977,50.8970,-298.0220
A21,24.6672,51.0690,-299.3628,24.5069,50.7371,-297.4174
B16,36.8929,50.7790,-297.9985,36.6530,50.4489,-296.0610
B17,40.9456,39.2410,-299.3561,40.6795,38.9860,-297.4107
B18,44.8940,27.6020,-299.9500,44.6021,27.4225,-297.9999
B19,48.7668,15.8460,-300.2454,48.4498,15.7430,-298.2937
B20,52.5513,4.0600,-299.9939,52.2097,4.0336,-298.0438
B21,56.1861,-7.6780,-299.3334,55.8209,-7.6281,-297.3880
C16,59.7041,-19.3980,-298.0500,59.3160,-19.2719,-296.1125
C17,49.9584,-26.8080,-299.2734,49.6337,-26.6337,-297.3280
C18,40.1322,-34.1750,-300.0167,39.8713,-33.9529,-298.0666
C19,30.1389,-41.4820,-300.2392,29.9430,-41.2123,-298.2875
C20,20.0992,-48.7240,-299.9930,19.9685,-48.4073,-298.0429
C21,10.0601,-55.8080,-299.3323,9.9947,-55.4453,-297.3869
D16,0.0000,-62.7770,-298.0539,0.0000,-62.3689,-296.1164
D17,-10.0602,-55.8090,-299.3356,-9.9948,-55.4463,-297.3902
D18,-20.1005,-48.7270,-300.0115,-19.9698,-48.4103,-298.0614
D19,-30.1436,-41.4890,-300.2864,-29.9477,-41.2193,-298.3347
D20,-40.1339,-34.1760,-300.0290,-39.8730,-33.9539,-298.0789
D21,-49.9548,-26.8060,-299.2504,-49.6300,-26.6317,-297.3050
E16,-59.7036,-19.3980,-298.0474,-59.3155,-19.2719,-296.1099
E17,-56.1719,-7.6760,-299.2576,-55.8067,-7.6261,-297.3122
E18,-52.5583,4.0600,-300.0344,-52.2167,4.0336,-298.0843
E19,-48.7768,15.8490,-300.3068,-48.4598,15.7460,-298.3551
E20,-44.9036,27.6080,-300.0145,-44.6117,27.4285,-298.0644
E21,-40.9342,39.2300,-299.2731,-40.6681,38.9750,-297.3277
A16,-36.9005,50.7900,-298.0608,-36.6606,50.4598,-296.1233
A23,-30.7446,59.4420,-297.2020,-30.5448,59.0557,-295.2704
A24,-18.4711,59.6520,-298.1116,-18.3510,59.2642,-296.1737
A25,-6.1920,59.7520,-298.5361,-6.1517,59.3635,-296.5950
A26,6.1953,59.7840,-298.6970,6.1550,59.3955,-296.7559
A27,18.4684,59.6440,-298.0673,18.3483,59.2562,-296.1294
A28,30.7405,59.4340,-297.1617,30.5407,59.0477,-295.2301
B22,42.9263,59.0840,-295.6249,42.6472,58.6998,-293.7027
B23,47.0256,47.6020,-297.1646,46.7199,47.2926,-295.2330
B24,51.0181,35.9960,-298.0739,50.6864,35.7620,-296.1360
B25,54.9288,24.3610,-298.6198,54.5718,24.2026,-296.6787
B26,58.7389,12.5750,-298.5293,58.3570,12.4932,-296.5882
B27,62.4579,0.8670,-298.1954,62.0520,0.8614,-296.2575
B28,65.9604,-10.8590,-296.8759,65.5312,-10.7883,-294.9443
C22,69.7276,-22.6550,-296.7803,69.2760,-22.5083,-294.8581
C23,59.7997,-30.0110,-297.1417,59.4110,-29.8159,-295.2101
C24,50.0059,-37.4020,-298.1108,49.6808,-37.1589,-296.1729
C25,40.1510,-44.7230,-298.6900,39.8901,-44.4324,-296.7489
C26,30.1111,-51.9780,-298.5317,29.9153,-51.6400,-296.5906
C27,20.1216,-59.1230,-298.1474,19.9908,-58.7387,-296.2095
C28,10.0644,-66.1500,-297.1585,9.9990,-65.7200,-295.2269
D22,0.0000,-73.0360,-295.6513,0.0000,-72.5611,-293.7291
D23,-10.0662,-66.1620,-297.2114,-10.0008,-65.7320,-295.2798
D24,-20.1212,-59.1220,-298.1419,-19.9904,-58.7377,-296.2040
D25,-30.1109,-51.9770,-298.5298,-29.9151,-51.6390,-296.5887
D26,-40.1508,-44.7230,-298.6883,-39.8899,-44.4324,-296.7472
D27,-50.0061,-37.4030,-298.1122,-49.6810,-37.1599,-296.1743
D28,-59.8012,-30.0120,-297.1494,-59.4125,-29.8169,-295.2178
E22,-69.4866,-22.5770,-295.7542,-69.0350,-22.4303,-293.8320
E23,-66.0165,-10.8680,-297.1284,-65.5873,-10.7973,-295.1968
E24,-62.4404,0.8670,-298.1123,-62.0345,0.8614,-296.1744
E25,-58.7689,12.5820,-298.6814,-58.3870,12.5002,-296.7403
E26,-54.9119,24.3530,-298.5279,-54.5549,24.1947,-296.5868
E27,-51.0363,36.0090,-298.1804,-50.7046,35.7750,-296.2425
E28,-47.0258,47.6030,-297.1655,-46.7201,47.2936,-295.2339
A22,-42.9449,59.1090,-295.7532,-42.6658,58.7248,-293.8310
A30,-36.7472,67.6970,-294.5570,-36.5082,67.2567,-292.6414
A31,-24.5409,68.0000,-295.8765,-24.3814,67.5579,-293.9531
A32,-12.2766,68.1450,-296.5064,-12.1968,67.7019,-294.5783
A33,0.0000,68.2310,-296.8799,0.0000,67.7875,-294.9502
A34,12.2768,68.1460,-296.5126,12.1970,67.7029,-294.5845
A35,24.5460,68.0140,-295.9375,24.3865,67.5719,-294.0141
A36,36.7453,67.6930,-294.5416,36.5063,67.2528,-292.6260
B29,48.9280,67.3440,-293.0214,48.6100,66.9063,-291.1168
B30,53.0335,55.8750,-294.5891,52.6886,55.5117,-292.6735
B31,57.0727,44.3420,-295.7972,56.7016,44.0537,-293.8738
B32,61.0236,32.7380,-296.5453,60.6268,32.5251,-294.6172
B33,64.8885,21.0840,-296.8691,64.4667,20.9470,-294.9394
B34,68.6215,9.3850,-296.5864,68.1754,9.3240,-294.6583
B35,72.5231,-2.3350,-296.9738,72.0534,-2.3199,-295.0504
B36,76.3621,-14.1450,-296.9817,75.8696,-14.0538,-295.0661
C29,80.0408,-26.0070,-296.2552,79.5262,-25.8398,-294.3506
C30,69.8521,-33.3260,-295.9639,69.4000,-33.1103,-294.0483
C31,59.8408,-40.6000,-295.9633,59.4519,-40.3361,-294.0399
C32,49.9870,-47.9140,-296.5104,49.6619,-47.6024,-294.5823
C33,40.1047,-55.1990,-296.8797,39.8440,-54.8402,-294.9500
C34,30.1223,-62.3450,-296.5061,29.9264,-61.9396,-294.5780
C35,20.1120,-69.4260,-295.8290,19.9812,-68.9746,-293.9056
C36,10.0628,-76.3740,-294.5856,9.9974,-75.8774,-292.6700
D29,0.0000,-83.2360,-293.0038,0.0000,-82.6949,-291.0992
D30,-10.0613,-76.3620,-294.5403,-9.9959,-75.8654,-292.6247
D31,-20.1181,-69.4470,-295.9191,-19.9873,-68.9956,-293.9957
D32,-30.1351,-62.3720,-296.6314,-29.9392,-61.9666,-294.7033
D33,-40.0947,-55.1850,-296.8058,-39.8340,-54.8262,-294.8761
D34,-50.0008,-47.9270,-296.5927,-49.6757,-47.6154,-294.6646
D35,-59.8304,-40.5930,-295.9121,-59.4415,-40.3291,-293.9887
D36,-69.5197,-33.1670,-294.5554,-69.0676,-32.9513,-292.6398
E29,-79.1762,-25.7260,-293.0552,-78.6616,-25.5588,-291.1506
E30,-75.7348,-14.0280,-294.5418,-75.2423,-13.9368,-292.6262
E31,-72.2660,-2.3260,-295.9208,-71.7963,-2.3109,-293.9974
E32,-68.6271,9.3860,-296.6107,-68.1810,9.3250,-294.6826
E33,-64.8747,21.0790,-296.8057,-64.4529,20.9420,-294.8760
E34,-61.0460,32.7500,-296.6540,-60.6492,32.5371,-294.7259
E35,-57.0934,44.3580,-295.9046,-56.7223,44.0697,-293.9812
E36,-53.0250,55.8660,-294.5419,-52.6801,55.5027,-292.6263
A29,-48.9362,67.3550,-293.0706,-48.6182,66.9173,-291.1660
A38,-42.9314,76.3430,-291.6141,-42.6522,75.8466,-289.7178
A39,-30.7432,76.6910,-293.1202,-30.5433,76.1924,-291.2145
A40,-18.4740,76.9110,-294.0777,-18.3539,76.4109,-292.1657
A41,-6.1966,77.0090,-294.5100,-6.1563,76.5082,-292.5948
A42,6.1984,77.0300,-294.5918,6.1581,76.5292,-292.6766
A43,18.4736,76.9090,-294.0710,18.3535,76.4089,-292.1590
A44,30.7363,76.6740,-293.0540,30.5364,76.1754,-291.1483
A45,42.9234,76.3290,-291.5598,42.6442,75.8326,-289.6635
B37,54.8211,75.4550,-289.7792,54.4645,74.9642,-287.8944
B38,59.3254,64.4070,-291.5449,58.9395,63.9881,-289.6486
B39,63.4415,52.9420,-293.1412,63.0291,52.5978,-291.2355
B40,67.4544,41.3470,-294.1513,67.0159,41.0782,-292.2393
B41,71.2845,29.6740,-294.3452,70.8207,29.4809,-292.4300
B42,75.6496,18.0220,-296.4516,75.1609,17.9056,-294.5364
B43,79.5422,6.2520,-296.6404,79.0295,6.2117,-294.7284
B44,83.3722,-5.6020,-296.4447,82.8362,-5.5660,-294.5390
B45,87.3494,-17.5350,-296.6293,86.7910,-17.4229,-294.7330
C37,89.8382,-29.1900,-293.4898,89.2613,-29.0025,-291.6050
C38,80.1971,-36.7990,-293.7824,79.6794,-36.5615,-291.8861
C39,69.9788,-43.9920,-293.2435,69.5240,-43.7061,-291.3378
C40,60.1466,-51.3580,-294.0483,59.7555,-51.0240,-292.1363
C41,50.3026,-58.6870,-294.6571,49.9756,-58.3055,-292.7419
C42,40.2487,-65.9380,-294.4918,39.9869,-65.5092,-292.5766
C43,30.2655,-73.0900,-294.1198,30.0687,-72.6148,-292.2078
C44,20.2077,-80.1220,-293.1478,20.0763,-79.6011,-291.2421
C45,10.1448,-87.0310,-291.7296,10.0789,-86.4653,-289.8333
D37,0.0000,-93.2790,-289.8198,0.0000,-92.6724,-287.9350
D38,-10.1453,-87.0350,-291.7440,-10.0794,-86.4693,-289.8477
D39,-20.2054,-80.1130,-293.1143,-20.0740,-79.5921,-291.2086
D40,-30.2562,-73.0680,-294.0298,-30.0594,-72.5928,-292.1178
D41,-40.2617,-65.9600,-294.5867,-39.9999,-65.5312,-292.6715
D42,-50.2771,-58.6580,-294.5077,-49.9501,-58.2765,-292.5925
D43,-60.1530,-51.3630,-294.0795,-59.7619,-51.0290,-292.1675
D44,-69.9507,-43.9740,-293.1257,-69.4959,-43.6881,-291.2200
D45,-79.5979,-36.5240,-291.5871,-79.0802,-36.2865,-289.6908
E37,-88.7629,-28.8400,-289.9770,-88.1860,-28.6525,-288.0922
E38,-85.9089,-17.2460,-291.7374,-85.3505,-17.1339,-289.8411
E39,-82.4348,-5.5400,-293.1114,-81.8988,-5.5040,-291.2057
E40,-78.8451,6.1970,-294.0404,-78.3324,6.1567,-292.1284
E41,-75.1615,17.9050,-294.5390,-74.6728,17.7886,-292.6238
E42,-71.3322,29.6940,-294.5421,-70.8684,29.5009,-292.6269
E43,-67.4354,41.3350,-294.0683,-66.9969,41.0662,-292.1563
E44,-63.4316,52.9330,-293.0954,-63.0192,52.5888,-291.1897
E45,-59.3244,64.4060,-291.5400,-58.9385,63.9871,-289.6437
A37,-54.8410,75.4830,-289.8845,-54.4844,74.9922,-287.9997
A47,-48.8208,84.4470,-288.3409,-48.5032,83.8977,-286.4653
A48,-36.9135,85.3020,-290.0573,-36.6735,84.7475,-288.1717
A49,-24.6747,85.6070,-291.3035,-24.5143,85.0506,-289.4101
A50,-12.3833,85.7060,-291.8543,-12.3028,85.1486,-289.9561
A51,0.0000,85.8480,-292.3351,0.0000,85.2901,-290.4353
A52,12.3833,85.7060,-291.8545,12.3028,85.1486,-289.9563
A53,24.6712,85.5950,-291.2626,24.5108,85.0386,-289.3692
A54,36.9118,85.2980,-290.0443,36.6718,84.7435,-288.1587
A55,48.8286,84.4600,-288.3866,48.5110,83.9107,-286.5110
B46,60.6649,83.4990,-286.3074,60.2702,82.9558,-284.4447
B47,65.2844,72.5920,-288.5971,64.8601,72.1202,-286.7215
B48,69.6950,61.4450,-289.9549,69.2418,61.0454,-288.0693
B49,73.8485,49.9600,-291.5307,73.3689,49.6355,-289.6373
B50,77.9693,38.4030,-292.9247,77.4640,38.1541,-291.0265
B51,82.1844,26.7030,-294.2655,81.6538,26.5306,-292.3657
B52,86.5602,14.9190,-296.0352,86.0052,14.8233,-294.1370
B53,90.4012,3.0330,-295.7541,89.8224,3.0136,-293.8607
B54,94.1670,-8.9020,-295.1783,93.5655,-8.8451,-293.2927
B55,96.7719,-20.6280,-292.4892,96.1514,-20.4957,-290.6136
C46,99.8059,-32.4290,-291.1146,99.1673,-32.2215,-289.2519
C47,89.4597,-39.7670,-289.3978,88.8799,-39.5093,-287.5222
C48,80.0167,-47.3210,-290.1085,79.4966,-47.0134,-288.2229
C49,70.2512,-54.7300,-291.1837,69.7944,-54.3741,-289.2903
C50,60.4281,-62.0920,-292.0148,60.0353,-61.6884,-290.1166
C51,50.4388,-69.4220,-292.2149,50.1109,-68.9707,-290.3151
C52,40.3842,-76.6650,-292.0419,40.1217,-76.1667,-290.1437
C53,30.3453,-83.7320,-291.2052,30.1480,-83.1876,-289.3118
C54,20.2769,-90.7140,-290.0809,20.1451,-90.1243,-288.1953
C55,10.1457,-97.0760,-288.5250,10.0797,-96.4449,-286.6494
D46,0.0000,-103.3080,-286.5841,0.0000,-102.6365,-284.7214
D47,-10.1431,-97.0510,-288.4520,-10.0771,-96.4200,-286.5764
D48,-20.2724,-90.6940,-290.0160,-20.1406,-90.1043,-288.1304
D49,-30.3457,-83.7330,-291.2092,-30.1484,-83.1886,-289.3158
D50,-40.3738,-76.6450,-291.9662,-40.1113,-76.1467,-290.0680
D51,-50.4384,-69.4220,-292.2123,-50.1105,-68.9707,-290.3125
D52,-60.4211,-62.0850,-291.9807,-60.0283,-61.6814,-290.0825
D53,-70.2519,-54.7310,-291.1868,-69.7951,-54.3751,-289.2934
D54,-79.9873,-47.3030,-290.0018,-79.4672,-46.9954,-288.1162
D55,-89.1340,-39.6220,-288.3442,-88.5542,-39.3643,-286.4686
E46,-98.1673,-31.8960,-286.3352,-97.5287,-31.6885,-284.4725
E47,-95.4303,-20.3420,-288.4344,-94.8098,-20.2097,-286.5588
E48,-92.5143,-8.7450,-289.9978,-91.9128,-8.6881,-288.1122
E49,-89.0356,2.9870,-291.2866,-88.4568,2.9676,-289.3932
E50,-85.3583,14.7120,-291.9248,-84.8033,14.6163,-290.0266
E51,-81.6225,26.5210,-292.2536,-81.0919,26.3486,-290.3538
E52,-77.7033,38.2720,-291.9256,-77.1980,38.0231,-290.0274
E53,-73.7699,49.9070,-291.2202,-73.2903,49.5825,-289.3268
E54,-69.6933,61.4430,-289.9480,-69.2401,61.0434,-288.0624
E55,-65.2586,72.5630,-288.4832,-64.8343,72.0912,-286.6076
A46,-60.7307,83.5890,-286.6179,-60.3360,83.0458,-284.7552
A57,-54.6813,92.5250,-284.8835,-54.3257,91.9233,-283.0309
A58,-42.7646,93.3640,-286.5558,-42.4864,92.7567,-284.6919
A59,-30.8208,94.0860,-287.9084,-30.6204,93.4741,-286.0360
A60,-18.5561,94.3090,-288.8781,-18.4354,93.6957,-286.9994
A61,-6.1979,94.5020,-289.4229,-6.1576,93.8876,-287.5411
A62,6.1947,94.4640,-289.3047,6.1544,93.8495,-287.4229
A63,18.5641,94.3530,-289.0129,18.4434,93.7397,-287.1342
A64,30.8115,94.0590,-287.8268,30.6111,93.4471,-285.9544
A65,42.7732,93.3850,-286.6182,42.4950,92.7777,-284.7543
A66,54.6901,92.5410,-284.9325,54.3345,91.9393,-283.0799
B56,66.4461,91.4560,-282.5500,66.0138,90.8610,-280.7117
B57,71.0932,80.5900,-284.8616,70.6309,80.0659,-283.0090
B58,75.5903,69.5330,-286.5964,75.0987,69.0808,-284.7325
B59,79.9441,58.3770,-287.8642,79.4241,57.9973,-285.9918
B60,83.9752,46.8000,-288.9360,83.4292,46.4957,-287.0573
B61,88.4097,35.2770,-290.8977,87.8378,35.0488,-289.0159
B62,92.6306,23.5220,-292.0675,92.0338,23.3704,-290.1857
B63,96.6676,11.6460,-292.6351,96.0470,11.5712,-290.7564
B64,100.4859,-0.2410,-292.2165,99.8420,-0.2395,-290.3441
B65,103.8265,-12.0300,-291.6601,103.1630,-11.9531,-289.7962
B66,107.1026,-23.9060,-290.8836,106.4205,-23.7537,-289.0310
C56,109.9364,-35.7200,-288.9212,109.2369,-35.4927,-287.0829
C57,100.0103,-43.3140,-288.8920,99.3690,-43.0362,-287.0394
C58,90.0686,-50.7310,-288.4563,89.4866,-50.4032,-286.5924
C59,80.2840,-58.0350,-288.0793,79.7622,-57.6578,-286.2069
C60,70.4400,-65.3850,-288.8571,69.9819,-64.9597,-286.9784
C61,60.5588,-72.8080,-289.4131,60.1650,-72.3346,-287.5313
C62,50.5177,-80.0720,-289.3364,50.1891,-79.5512,-287.4546
C63,40.4489,-87.2630,-289.0780,40.1860,-86.6959,-287.1993
C64,30.3736,-94.2510,-287.9664,30.1761,-93.6382,-286.0940
C65,20.2831,-100.6810,-286.5877,20.1512,-100.0262,-284.7238
C66,10.1466,-106.9960,-284.8881,10.0806,-106.3002,-283.0355
D56,0.0000,-113.1180,-282.7342,0.0000,-112.3825,-280.8959
D57,-10.1522,-107.0550,-285.0453,-10.0862,-106.3592,-283.1927
D58,-20.2798,-100.6640,-286.5404,-20.1479,-100.0092,-284.6765
D59,-30.3686,-94.2350,-287.9190,-30.1711,-93.6222,-286.0466
D60,-40.4481,-87.2620,-289.0725,-40.1852,-86.6949,-287.1938
D61,-50.5120,-80.0630,-289.3033,-50.1834,-79.5422,-287.4215
D62,-60.5852,-72.8390,-289.5391,-60.1914,-72.3656,-287.6573
D63,-70.4411,-65.3860,-288.8618,-69.9830,-64.9607,-286.9831
D64,-80.2272,-57.9940,-287.8754,-79.7054,-57.6168,-286.0030
D65,-89.4876,-50.4030,-286.5957,-88.9056,-50.0752,-284.7318
D66,-98.6450,-42.7220,-284.9481,-98.0037,-42.4442,-283.0955
E56,-107.5914,-34.9580,-282.7584,-106.8919,-34.7307,-280.9201
E57,-104.8509,-23.4040,-284.7679,-104.1688,-23.2517,-282.9153
E58,-102.0369,-11.8230,-286.6328,-101.3734,-11.7461,-284.7689
E59,-99.0278,-0.2380,-287.9760,-98.3839,-0.2365,-286.1036
E60,-95.4117,11.4940,-288.8331,-94.7911,11.4192,-286.9544
E61,-91.7908,23.3080,-289.4194,-91.1940,23.1565,-287.5376
E62,-87.9349,35.0870,-289.3354,-87.3630,34.8588,-287.4536
E63,-83.9530,46.7880,-288.8596,-83.4070,46.4837,-286.9809
E64,-79.9906,58.4110,-288.0318,-79.4706,58.0313,-286.1594
E65,-75.5808,69.5240,-286.5606,-75.0892,69.0718,-284.6967
E66,-71.0669,80.5610,-284.7564,-70.6046,80.0369,-282.9038
A56,-66.4448,91.4540,-282.5444,-66.0125,90.8590,-280.7061
A68,-60.4528,100.4740,-281.0612,-60.0598,99.8208,-279.2339
A69,-48.5836,101.3610,-282.8696,-48.2676,100.7017,-281.0296
A70,-36.6847,102.1830,-284.4974,-36.4462,101.5186,-282.6475
A71,-24.6973,102.7570,-285.4356,-24.5366,102.0885,-283.5788
A72,-12.3633,103.0500,-286.2476,-12.2829,102.3799,-284.3862
A73,0.0000,103.1160,-286.4314,0.0000,102.4453,-284.5684
A74,12.3598,103.0200,-286.1652,12.2794,102.3499,-284.3038
A75,24.7154,102.8320,-285.6448,24.5547,102.1635,-283.7880
A76,36.6650,102.1280,-284.3449,36.4265,101.4636,-282.4950
A77,48.5799,101.3530,-282.8477,48.2639,100.6937,-281.0076
A78,60.4602,100.4870,-281.0958,60.0672,99.8338,-279.2685
B67,72.2020,99.3780,-278.6663,71.7326,98.7319,-276.8545
B68,76.8282,88.4880,-280.8883,76.3284,87.9123,-279.0610
B69,81.4412,77.5810,-283.0596,80.9118,77.0767,-281.2196
B70,85.7860,66.4200,-284.3013,85.2278,65.9878,-282.4514
B71,90.1551,55.2790,-285.6243,89.5690,54.9196,-283.7675
B72,94.5726,43.7820,-287.4258,93.9601,43.4985,-285.5644
B73,98.8308,32.1130,-288.6583,98.1930,31.9057,-286.7953
B74,102.9473,20.3070,-289.3999,102.2851,20.1764,-287.5385
B75,106.8423,8.3820,-289.4534,106.1569,8.3282,-287.5966
B76,110.6576,-3.3780,-290.1080,109.9520,-3.3565,-288.2581
B77,114.1747,-15.2520,-289.8820,113.4500,-15.1552,-288.0419
B78,116.8387,-27.0480,-287.4615,116.0960,-26.8761,-285.6342
C67,119.6087,-38.8630,-285.3057,118.8491,-38.6162,-283.4939
C68,109.7827,-46.5220,-285.7946,109.0808,-46.2245,-283.9673
C69,100.2761,-54.1980,-286.8542,99.6329,-53.8503,-285.0141
C70,90.0732,-61.3310,-285.5541,89.4897,-60.9337,-283.7042
C71,80.4252,-68.6540,-285.5982,79.9023,-68.2076,-283.7414
C72,70.5719,-76.1000,-286.2437,70.1130,-75.6051,-284.3823
C73,60.6089,-83.4210,-286.4282,60.2147,-82.8784,-284.5652
C74,50.5832,-90.6610,-286.3309,50.2544,-90.0716,-284.4695
C75,40.4206,-97.6540,-285.4519,40.1577,-97.0188,-283.5951
C76,30.3683,-104.1800,-284.3607,30.1707,-103.5023,-282.5108
C77,20.2724,-110.5540,-282.8565,20.1405,-109.8348,-281.0164
C78,10.1433,-116.7430,-280.8804,10.0773,-115.9835,-279.0531
D67,0.0000,-122.7530,-278.4761,0.0000,-121.9544,-276.6643
D68,-10.1460,-116.7740,-280.9551,-10.0800,-116.0145,-279.1278
D69,-20.8090,-113.4800,-286.2218,-20.6755,-112.7519,-284.3854
D70,-30.3691,-104.1830,-284.3680,-30.1715,-103.5053,-282.5181
D71,-40.4307,-97.6780,-285.5230,-40.1678,-97.0428,-283.6662
D72,-50.5698,-90.6370,-286.2550,-50.2410,-90.0476,-284.3936
D73,-60.6163,-83.4310,-286.4632,-60.2221,-82.8884,-284.6002
D74,-70.5608,-76.0880,-286.1985,-70.1019,-75.5931,-284.3371
