节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）
D38,-10.0048,-85.8300,-287.7034
D39,-19.9310,-79.0240,-289.1332
D40,-29.8508,-72.0890,-290.0899
D41,-39.7125,-65.0600,-290.5687
D42,-49.6047,-57.8730,-290.5687
D43,-59.3370,-50.6660,-290.0899
D44,-68.9980,-43.3750,-289.1332
D45,-78.5377,-36.0380,-287.7034
E37,-87.5314,-28.4400,-285.9538
E38,-84.7210,-17.0080,-287.7034
E39,-81.3160,-5.4640,-289.1332
E40,-77.7858,6.1130,-290.0899
E41,-74.1484,17.6640,-290.5687
E42,-70.3699,29.2930,-290.5687
E43,-66.5231,40.7760,-290.0899
E44,-62.5741,52.2180,-289.1332
E45,-58.5437,63.5580,-287.7034
A37,-54.0974,74.4590,-285.9538
A47,-48.1805,83.3390,-284.5585
A48,-36.4062,84.1300,-286.0717
A49,-24.3327,84.4200,-287.2656
A50,-12.2194,84.5720,-287.9906
A51,0.0000,84.6420,-288.2291
A52,12.2194,84.5720,-287.9906
A53,24.3327,84.4200,-287.2656
A54,36.4063,84.1300,-286.0717
A55,48.1805,83.3390,-284.5585
B46,59.8791,82.4170,-282.5990
B47,64.3708,71.5760,-284.5585
B48,68.7616,60.6220,-286.0717
B49,72.7681,49.2290,-287.2656
B50,76.6559,37.7560,-287.9906
B51,80.4986,26.1560,-288.2291
B52,84.2079,14.5130,-287.9906
B53,87.8066,2.9460,-287.2656
B54,91.2619,-8.6270,-286.0717
B55,94.1480,-20.0690,-284.5585
C46,96.8864,-31.4800,-282.5990
C47,87.9638,-39.1020,-284.5585
C48,78.9032,-46.6630,-286.0717
C49,69.3059,-53.9940,-287.2656
C50,59.5954,-61.2370,-287.9906
C51,49.7509,-68.4760,-288.2291
C52,39.8240,-75.6010,-287.9906
C53,29.9348,-82.5980,-287.2656
C54,19.9967,-89.4610,-286.0717
C55,10.0062,-95.7410,-284.5585
D46,0.0000,-101.8720,-282.5990
D47,-10.0062,-95.7410,-284.5585
D48,-19.9967,-89.4610,-286.0717
D49,-29.9348,-82.5980,-287.2656
D50,-39.8240,-75.6010,-287.9906
D51,-49.7509,-68.4760,-288.2291
D52,-59.5954,-61.2370,-287.9906
D53,-69.3059,-53.9940,-287.2656
D54,-78.9032,-46.6630,-286.0717
D55,-87.9638,-39.1020,-284.5585
E46,-96.8864,-31.4800,-282.5990
E47,-94.1480,-20.0690,-284.5585
E48,-91.2619,-8.6270,-286.0717
E49,-87.8066,2.9460,-287.2656
E50,-84.2079,14.5130,-287.9906
E51,-80.4986,26.1560,-288.2291
E52,-76.6559,37.7560,-287.9906
E53,-72.7681,49.2290,-287.2656
E54,-68.7616,60.6220,-286.0717
E55,-64.3708,71.5760,-284.5585
A46,-59.8791,82.4170,-282.5990
A57,-53.9481,91.2840,-281.0640
A58,-42.2024,92.1370,-282.7895
A59,-30.4101,92.8320,-284.0733
A60,-18.3091,93.0550,-285.0366
A61,-6.1137,93.2230,-285.5038
A62,6.1137,93.2230,-285.5038
A63,18.3091,93.0550,-285.0366
A64,30.4101,92.8320,-284.0733
A65,42.2024,92.1370,-282.7895
A66,53.9481,91.2840,-281.0640
B56,65.5892,90.2760,-278.9059
B57,70.1453,79.5160,-281.0640
B58,74.5863,68.6090,-282.7895
B59,78.8912,57.6090,-284.0733
B60,82.8419,46.1690,-285.0366
B61,86.7704,34.6220,-285.5038
B62,90.5489,22.9930,-285.5038
B63,94.1576,11.3430,-285.0366
B64,97.6857,-0.2350,-284.0733
B65,100.6687,-11.6650,-282.7895
B66,103.4871,-23.0990,-281.0640
C56,106.1255,-34.4820,-278.9059
C57,97.3003,-42.1400,-281.0640
C58,88.2992,-49.7340,-282.7895
C59,79.1676,-57.2280,-284.0733
C60,69.5083,-64.5200,-285.0366
C61,59.7408,-71.8240,-285.5038
C62,49.8486,-79.0120,-285.5038
C63,39.8834,-86.0440,-285.0366
C64,29.9630,-92.9770,-284.0733
C65,20.0144,-99.3460,-282.7895
C66,10.0104,-105.5600,-281.0640
D56,0.0000,-111.5870,-278.9059
D57,-10.0104,-105.5600,-281.0640
D58,-20.0144,-99.3460,-282.7895
D59,-29.9630,-92.9770,-284.0733
D60,-39.8834,-86.0440,-285.0366
D61,-49.8486,-79.0120,-285.5038
D62,-59.7408,-71.8240,-285.5038
D63,-69.5083,-64.5200,-285.0366
D64,-79.1676,-57.2280,-284.0733
D65,-88.2992,-49.7340,-282.7895
D66,-97.3003,-42.1400,-281.0640
E56,-106.1255,-34.4820,-278.9059
E57,-103.4871,-23.0990,-281.0640
E58,-100.6687,-11.6650,-282.7895
E59,-97.6857,-0.2350,-284.0733
E60,-94.1576,11.3430,-285.0366
E61,-90.5489,22.9930,-285.5038
E62,-86.7704,34.6220,-285.5038
E63,-82.8419,46.1690,-285.0366
E64,-78.8912,57.6090,-284.0733
E65,-74.5863,68.6090,-282.7895
E66,-70.1453,79.5160,-281.0640
A56,-65.5892,90.2760,-278.9059
A68,-59.6308,99.1080,-277.2399
A69,-47.9477,100.0340,-279.1673
A70,-36.1897,100.8040,-280.6583
A71,-24.3750,101.4160,-281.7107
A72,-12.1976,101.6680,-282.4095
A73,0.0000,101.7520,-282.6426
A74,12.1976,101.6680,-282.4095
A75,24.3750,101.4160,-281.7107
A76,36.1897,100.8040,-280.6583
A77,47.9477,100.0340,-279.1673
A78,59.6308,99.1080,-277.2399
B67,71.2207,98.0270,-274.8791
B68,75.8303,87.3390,-277.2399
B69,80.3213,76.5140,-279.1673
B70,84.6867,65.5690,-280.6583
B71,88.9198,54.5220,-281.7107
B72,92.9221,43.0180,-282.4095
B73,96.7712,31.4430,-282.6426
B74,100.4606,19.8170,-282.4095
B75,103.9844,8.1580,-281.7107
B76,107.0532,-3.2680,-280.6583
B77,109.9546,-14.6880,-279.1673
B78,112.6842,-26.0860,-277.2399
C67,115.2376,-37.4430,-274.8791
C68,106.4965,-45.1290,-277.2399
C69,97.5890,-52.7460,-279.1673
C70,88.5289,-60.2800,-280.6583
C71,79.3305,-67.7190,-281.7107
C72,69.6266,-75.0810,-282.4095
C73,59.8079,-82.3180,-282.6426
C74,49.8905,-89.4200,-282.4095
C75,39.8909,-96.3740,-281.7107
C76,29.9728,-102.8230,-280.6583
C77,20.0080,-109.1120,-279.1673
C78,10.0118,-115.2300,-277.2399
D67,0.0000,-121.1680,-274.8791
D68,-10.0118,-115.2300,-277.2399
D69,-20.0080,-109.1120,-279.1673
D70,-29.9728,-102.8230,-280.6583
D71,-39.8909,-96.3740,-281.7107
D72,-49.8905,-89.4200,-282.4095
D73,-59.8079,-82.3180,-282.6426
D74,-69.6266,-75.0810,-282.4095
D75,-79.3305,-67.7190,-281.7107
D76,-88.5289,-60.2800,-280.6583
D77,-97.5890,-52.7460,-279.1673
D78,-106.4965,-45.1290,-277.2399
E67,-115.2376,-37.4430,-274.8791
E68,-112.6842,-26.0860,-277.2399
E69,-109.9546,-14.6880,-279.1673
E70,-107.0532,-3.2680,-280.6583
E71,-103.9844,8.1580,-281.7107
E72,-100.4606,19.8170,-282.4095
E73,-96.7712,31.4430,-282.6426
E74,-92.9221,43.0180,-282.4095
E75,-88.9198,54.5220,-281.7107
E76,-84.6867,65.5690,-280.6583
E77,-80.3213,76.5140,-279.1673
E78,-75.8303,87.3390,-277.2399
A67,-71.2207,98.0270,-274.8791
A80,-65.2835,106.9130,-273.0346
A81,-53.6373,107.9130,-275.1691
A82,-41.8868,108.7580,-276.8710
A83,-30.0914,109.4440,-278.1308
A84,-18.3087,109.8700,-278.9869
A85,-6.1133,110.0380,-279.4540
A86,6.1133,110.0380,-279.4540
A87,18.3087,109.8700,-278.9869
A88,30.0914,109.4440,-278.1308
A89,41.8868,108.7580,-276.8710
A90,53.6373,107.9130,-275.1691
A91,65.2835,106.9130,-273.0346
B79,76.7671,105.6610,-270.5232
B80,81.5064,95.1270,-273.0346
B81,86.0562,84.3590,-275.1691
B82,90.4905,73.4450,-276.8710
B83,94.7883,62.4390,-278.1308
B84,98.8343,51.3640,-278.9869
B85,102.7628,39.8180,-279.4540
B86,106.5411,28.1900,-279.4540
B87,110.1497,16.5390,-278.9869
B88,113.3858,5.2020,-278.1308
B89,116.3780,-6.2290,-276.8710
B90,119.2059,-17.6650,-275.1691
B91,121.8538,-29.0500,-273.0346
C79,124.2117,-40.3580,-270.5232
C80,115.6573,-48.1210,-273.0346
C81,106.8230,-55.7760,-275.1691
C82,97.8130,-63.3660,-276.8710
C83,88.6738,-70.8540,-278.1308
C84,79.3916,-78.1240,-278.9869
C85,69.6243,-85.4290,-279.4540
C86,59.7327,-92.6150,-279.4540
C87,49.7676,-99.6470,-278.9869
C88,39.9849,-106.2290,-278.1308
C89,30.0387,-112.6060,-276.8710
C90,20.0360,-118.8300,-275.1691
C91,10.0263,-124.8670,-273.0346
D79,0.0000,-130.6040,-270.5232
D80,-10.0263,-124.8670,-273.0346
D81,-20.0360,-118.8300,-275.1691
D82,-30.0387,-112.6060,-276.8710
D83,-39.9849,-106.2290,-278.1308
D84,-49.7676,-99.6470,-278.9869
D85,-59.7327,-92.6150,-279.4540
D86,-69.6243,-85.4290,-279.4540
D87,-79.3916,-78.1240,-278.9869
D88,-88.6738,-70.8540,-278.1308
D89,-97.8130,-63.3660,-276.8710
D90,-106.8230,-55.7760,-275.1691
D91,-115.6573,-48.1210,-273.0346
E79,-124.2117,-40.3580,-270.5232
E80,-121.8538,-29.0500,-273.0346
E81,-119.2059,-17.6650,-275.1691
E82,-116.3780,-6.2280,-276.8710
E83,-113.3858,5.2020,-278.1308
E84,-110.1497,16.5390,-278.9869
E85,-106.5411,28.1900,-279.4540
E86,-102.7628,39.8180,-279.4540
E87,-98.8343,51.3640,-278.9869
E88,-94.7883,62.4390,-278.1308
E89,-90.4905,73.4450,-276.8710
E90,-86.0562,84.3590,-275.1691
E91,-81.5064,95.1270,-273.0346
A79,-76.7671,105.6610,-270.5232
A93,-70.7961,114.5030,-268.5466
A94,-59.2612,115.6600,-270.8342
A95,-47.5535,116.5910,-272.7372
A96,-35.7711,117.3390,-274.2122
A97,-24.0135,117.8520,-275.2718
A98,-12.2188,118.1830,-275.9055
A99,0.0000,118.2810,-276.1340
A100,12.2188,118.1830,-275.9055
A101,24.0135,117.8520,-275.2718
A102,35.7711,117.3390,-274.2122
A103,47.5535,116.5910,-272.7372
A104,59.2612,115.6600,-270.8342
A105,70.7961,114.5030,-268.5466
B92,82.2215,113.1690,-265.8435
B93,87.0210,102.7150,-268.5466
B94,91.6858,92.1020,-270.8342
B95,96.1890,81.2550,-272.7372
B96,100.5413,70.2800,-274.2122
B97,104.6627,59.2570,-275.2718
B98,108.6222,48.1420,-275.9055
B99,112.4911,36.5510,-276.1340
B100,116.1738,24.9000,-275.9055
B101,119.5039,13.5800,-275.2718
B102,122.6491,2.2400,-274.2122
B103,125.5787,-9.1970,-272.7372
B104,128.3113,-20.6200,-270.8342
B105,130.7754,-31.9480,-268.5466
C92,133.0372,-43.2260,-265.8435
C93,124.5781,-51.0210,-268.5466
C94,115.9262,-58.7370,-270.8342
C95,107.0016,-66.3720,-272.7372
C96,97.9091,-73.9020,-274.2122
C97,88.6987,-81.2290,-275.2718
C98,79.3510,-88.4290,-275.9055
C99,69.5233,-95.6900,-276.1340
C100,59.5805,-102.7930,-275.9055
C101,49.8439,-109.4580,-275.2718
C102,40.0302,-115.9540,-274.2122
C103,30.0584,-122.2740,-272.7372
C104,20.0395,-128.4030,-270.8342
C105,10.0275,-134.2470,-268.5466
D92,0.0000,-139.8830,-265.8435
D93,-10.0275,-134.2470,-268.5466
D94,-20.0395,-128.4030,-270.8342
D95,-30.0584,-122.2740,-272.7372
D96,-40.0302,-115.9540,-274.2122
D97,-49.8439,-109.4580,-275.2718
D98,-59.5805,-102.7930,-275.9055
D99,-69.5233,-95.6900,-276.1340
D100,-79.3510,-88.4290,-275.9055
D101,-88.6987,-81.2290,-275.2718
D102,-97.9091,-73.9020,-274.2122
D103,-107.0016,-66.3720,-272.7372
D104,-115.9262,-58.7370,-270.8342
D105,-124.5781,-51.0210,-268.5466
E92,-133.0372,-43.2260,-265.8435
E93,-130.7754,-31.9480,-268.5466
E94,-128.3113,-20.6200,-270.8342
E95,-125.5787,-9.1970,-272.7372
E96,-122.6491,2.2400,-274.2122
E97,-119.5039,13.5800,-275.2718
E98,-116.1738,24.9000,-275.9055
E99,-112.4911,36.5510,-276.1340
E100,-108.6222,48.1420,-275.9055
E101,-104.6627,59.2570,-275.2718
E102,-100.5413,70.2800,-274.2122
E103,-96.1890,81.2550,-272.7372
E104,-91.6858,92.1020,-270.8342
E105,-87.0210,102.7150,-268.5466
A92,-82.2215,113.1690,-265.8435
A107,-76.2241,121.9800,-263.7254
A108,-64.7330,123.2200,-266.2082
A109,-53.1617,124.2560,-268.2809
A110,-41.4072,125.0900,-269.9596
A111,-29.6892,125.7150,-271.2095
A112,-17.9049,126.1330,-272.0480
A113,-6.1133,126.3440,-272.4704
A114,6.1133,126.3440,-272.4704
A115,17.9049,126.1330,-272.0480
A116,29.6892,125.7150,-271.2095
A117,41.4072,125.0900,-269.9596
A118,53.1617,124.2560,-268.2809
A119,64.7330,123.2200,-266.2082
A120,76.2241,121.9800,-263.7254
B106,87.5775,120.5410,-260.8456
B107,92.4548,110.1880,-263.7254
B108,97.1849,99.6420,-266.2082
B109,101.7458,88.9570,-268.2809
B110,106.1719,78.0360,-269.9596
B111,110.3870,67.0840,-271.2095
B112,114.4264,56.0060,-272.0480
B113,118.2708,44.8570,-272.4704
B114,122.0490,33.2290,-272.4704
B115,125.4923,21.9490,-272.0480
B116,128.7360,10.6120,-271.2095
B117,131.7630,-0.7250,-269.9596
B118,134.6015,-12.1620,-268.2809
B119,137.1921,-23.4880,-266.2082
B120,139.5639,-34.7990,-263.7254
C106,141.7034,-46.0420,-260.8456
C107,133.3643,-53.8800,-263.7254
C108,124.7966,-61.6370,-266.2082
C109,116.0441,-69.2760,-268.2809
C110,107.0251,-76.8610,-269.9596
C111,97.9122,-84.2540,-271.2095
C112,88.6243,-91.5190,-272.0480
C113,79.2087,-98.6200,-272.4704
C114,69.3171,-105.8070,-272.4704
C115,59.6536,-112.5670,-272.0480
C116,49.8740,-119.1560,-271.2095
C117,40.0268,-125.5380,-269.9596
C118,30.0266,-131.7720,-268.2809
C119,20.0563,-137.7350,-266.2082
C120,10.0311,-143.4860,-263.7254
D106,0.0000,-148.9950,-260.8456
D107,-10.0311,-143.4860,-263.7254
D108,-20.0563,-137.7350,-266.2082
D109,-30.0266,-131.7720,-268.2809
D110,-40.0268,-125.5380,-269.9596
D111,-49.8740,-119.1560,-271.2095
D112,-59.6536,-112.5670,-272.0480
D113,-69.3171,-105.8070,-272.4704
D114,-79.2087,-98.6200,-272.4704
D115,-88.6243,-91.5190,-272.0480
D116,-97.9122,-84.2540,-271.2095
D117,-107.0251,-76.8610,-269.9596
D118,-116.0441,-69.2760,-268.2809
D119,-124.7966,-61.6370,-266.2082
D120,-133.3643,-53.8800,-263.7254
E106,-141.7034,-46.0420,-260.8456
E107,-139.5639,-34.7990,-263.7254
E108,-137.1921,-23.4880,-266.2082
E109,-134.6015,-12.1620,-268.2809
E110,-131.7630,-0.7250,-269.9596
E111,-128.7360,10.6120,-271.2095
E112,-125.4923,21.9490,-272.0480
E113,-122.0490,33.2290,-272.4704
E114,-118.2708,44.8570,-272.4704
E115,-114.4264,56.0060,-272.0480
E116,-110.3870,67.0840,-271.2095
E117,-106.1719,78.0360,-269.9596
E118,-101.7458,88.9570,-268.2809
E119,-97.1849,99.6420,-266.2082
E120,-92.4548,110.1880,-263.7254
A106,-87.5775,120.5410,-260.8456
A122,-81.5407,129.2990,-258.5982
A123,-70.1270,130.6310,-261.2621
A124,-58.6051,131.7620,-263.5232
A125,-46.9929,132.6890,-265.3780
A126,-35.3082,133.4120,-266.8235
A127,-23.5691,133.9290,-267.8577
A128,-11.7936,134.2400,-268.4788
A129,0.0000,134.3430,-268.6859
A130,11.7936,134.2400,-268.4788
A131,23.5691,133.9290,-267.8577
A132,35.3082,133.4120,-266.8235
A133,46.9929,132.6890,-265.3780
A134,58.6051,131.7620,-263.5232
A135,70.1270,130.6310,-261.2621
A136,81.5407,129.2990,-258.5982
B121,92.8287,127.7680,-255.5355
B122,97.7733,117.5060,-258.5982
B123,102.5671,107.0620,-261.2621
B124,107.2028,96.4540,-263.5232
B125,111.6731,85.6960,-265.3780
B126,115.9713,74.8070,-266.8235
B127,120.0906,63.8020,-267.8577
B128,124.0248,52.6990,-268.4788
B129,127.7678,41.5150,-268.6859
B130,131.3137,30.2660,-268.4788
B131,134.6572,18.9710,-267.8577
B132,137.7930,7.6470,-266.8235
B133,140.7163,-3.6890,-265.3780
B134,143.4227,-15.0200,-263.5232
B135,145.9079,-26.3270,-261.2621
B136,148.1682,-37.5940,-258.5982
C121,150.2000,-48.8030,-255.5355
C122,141.9679,-56.6760,-258.5982
C123,133.5169,-64.4630,-261.2621
C124,124.8601,-72.1500,-263.5232
C125,116.0107,-79.7250,-265.3780
C126,106.9824,-87.1780,-266.8235
C127,97.7892,-94.4970,-267.8577
C128,88.4452,-101.6690,-268.4788
C129,78.9648,-108.6850,-268.6859
C130,69.3627,-115.5340,-268.4788
C131,59.6536,-122.2040,-267.8577
C132,49.8525,-128.6860,-266.8235
C133,39.9746,-134.9690,-265.3780
C134,30.0350,-141.0440,-263.5232
C135,20.0491,-146.9020,-261.2621
C136,10.0323,-152.5330,-258.5982
D121,0.0000,-157.9290,-255.5355
D122,-10.0323,-152.5330,-258.5982
D123,-20.0491,-146.9020,-261.2621
D124,-30.0350,-141.0440,-263.5232
D125,-39.9746,-134.9690,-265.3780
D126,-49.8525,-128.6860,-266.8235
D127,-59.6536,-122.2040,-267.8577
D128,-69.3627,-115.5340,-268.4788
D129,-78.9648,-108.6850,-268.6859
D130,-88.4452,-101.6690,-268.4788
D131,-97.7892,-94.4970,-267.8577
D132,-106.9824,-87.1780,-266.8235
D133,-116.0107,-79.7250,-265.3780
D134,-124.8601,-72.1500,-263.5232
D135,-133.5169,-64.4630,-261.2621
D136,-141.9679,-56.6760,-258.5982
E121,-150.2000,-48.8030,-255.5355
E122,-148.1682,-37.5940,-258.5982
E123,-145.9079,-26.3270,-261.2621
E124,-143.4227,-15.0200,-263.5232
E125,-140.7163,-3.6890,-265.3780
E126,-137.7930,7.6470,-266.8235
E127,-134.6571,18.9710,-267.8577
E128,-131.3137,30.2660,-268.4788
E129,-127.7678,41.5150,-268.6859
E130,-124.0248,52.6990,-268.4788
E131,-120.0906,63.8020,-267.8577
E132,-115.9713,74.8070,-266.8235
E133,-111.6731,85.6960,-265.3780
E134,-107.2028,96.4540,-263.5232
E135,-102.5671,107.0620,-261.2621
E136,-97.7733,117.5060,-258.5982
A121,-92.8287,127.7680,-255.5355
A138,-87.7410,137.8330,-252.0788
A139,-76.3875,139.2770,-254.9648
A140,-64.8875,140.5250,-257.4542
A141,-53.3154,141.5650,-259.5326
A142,-41.5164,142.4150,-261.2175
A143,-29.7967,143.0430,-262.4713
A144,-18.0019,143.4650,-263.3133
A145,-6.2083,143.6790,-263.7388
A146,6.2083,143.6790,-263.7389
A147,18.0019,143.4650,-263.3133
A148,29.7967,143.0430,-262.4713
A149,41.5164,142.4150,-261.2175
A150,53.3154,141.5650,-259.5326
A151,64.8875,140.5250,-257.4542
A152,76.3875,139.2770,-254.9648
A153,87.7410,137.8330,-252.0788
