主索节点1,主索节点2,主索节点3
B27,B28,B35
B27,B34,B35
B28,C22,B36
B28,B35,B36
C22,C23,C30
C22,B36,C29
C22,C29,C30
C23,C24,C31
C23,C30,C31
C24,C25,C32
C24,C31,C32
C25,C26,C33
C25,C32,C33
C26,C27,C34
C26,C33,C34
C27,C28,C35
C27,C34,C35
C28,D22,C36
C28,C35,C36
D22,D23,D30
D22,C36,D29
D22,D29,D30
D23,D24,D31
D23,D30,D31
D24,D25,D32
D24,D31,D32
D25,D26,D33
D25,D32,D33
D26,D27,D34
D26,D33,D34
D27,D28,D35
D27,D34,D35
D28,E22,D36
D28,D35,D36
E22,E23,E30
E22,D36,E29
E22,E29,E30
E23,E24,E31
E23,E30,E31
E24,E25,E32
E24,E31,E32
E25,E26,E33
E25,E32,E33
E26,E27,E34
E26,E33,E34
E27,E28,E35
E27,E34,E35
E28,A22,E36
E28,E35,E36
A22,A30,A29
A22,E36,A29
A30,A31,A39
A30,A29,A38
A30,A38,A39
A31,A32,A40
A31,A39,A40
A32,A33,A41
A32,A40,A41
A33,A34,A42
A33,A41,A42
A34,A35,A43
A34,A42,A43
A35,A36,A44
A35,A43,A44
A36,B29,A45
A36,A44,A45
B29,B30,B38
B29,A45,B37
B29,B37,B38
B30,B31,B39
B30,B38,B39
B31,B32,B40
B31,B39,B40
B32,B33,B41
B32,B40,B41
B33,B34,B42
B33,B41,B42
B34,B35,B43
B34,B42,B43
B35,B36,B44
B35,B43,B44
B36,C29,B45
B36,B44,B45
C29,C30,C38
C29,B45,C37
C29,C37,C38
C30,C31,C39
C30,C38,C39
C31,C32,C40
C31,C39,C40
C32,C33,C41
C32,C40,C41
C33,C34,C42
C33,C41,C42
C34,C35,C43
C34,C42,C43
C35,C36,C44
C35,C43,C44
C36,D29,C45
C36,C44,C45
D29,D30,D38
D29,C45,D37
D29,D37,D38
D30,D31,D39
D30,D38,D39
D31,D32,D40
D31,D39,D40
D32,D33,D41
D32,D40,D41
D33,D34,D42
D33,D41,D42
D34,D35,D43
D34,D42,D43
D35,D36,D44
D35,D43,D44
D36,E29,D45
D36,D44,D45
E29,E30,E38
E29,D45,E37
E29,E37,E38
E30,E31,E39
E30,E38,E39
E31,E32,E40
E31,E39,E40
E32,E33,E41
E32,E40,E41
E33,E34,E42
E33,E41,E42
E34,E35,E43
E34,E42,E43
E35,E36,E44
E35,E43,E44
E36,A29,E45
E36,E44,E45
A29,A38,A37
A29,E45,A37
A38,A39,A48
A38,A37,A47
A38,A47,A48
A39,A40,A49
A39,A48,A49
A40,A41,A50
A40,A49,A50
A41,A42,A51
A41,A50,A51
A42,A43,A52
A42,A51,A52
A43,A44,A53
A43,A52,A53
A44,A45,A54
A44,A53,A54
A45,B37,A55
A45,A54,A55
B37,B38,B47
B37,A55,B46
B37,B46,B47
B38,B39,B48
B38,B47,B48
B39,B40,B49
B39,B48,B49
B40,B41,B50
B40,B49,B50
B41,B42,B51
B41,B50,B51
B42,B43,B52
B42,B51,B52
B43,B44,B53
B43,B52,B53
B44,B45,B54
B44,B53,B54
B45,C37,B55
B45,B54,B55
C37,C38,C47
C37,B55,C46
C37,C46,C47
C38,C39,C48
C38,C47,C48
C39,C40,C49
C39,C48,C49
C40,C41,C50
C40,C49,C50
C41,C42,C51
C41,C50,C51
C42,C43,C52
C42,C51,C52
C43,C44,C53
C43,C52,C53
C44,C45,C54
C44,C53,C54
C45,D37,C55
C45,C54,C55
D37,D38,D47
D37,C55,D46
D37,D46,D47
D38,D39,D48
D38,D47,D48
D39,D40,D49
D39,D48,D49
D40,D41,D50
D40,D49,D50
D41,D42,D51
D41,D50,D51
D42,D43,D52
D42,D51,D52
D43,D44,D53
D43,D52,D53
D44,D45,D54
D44,D53,D54
D45,E37,D55
D45,D54,D55
E37,E38,E47
E37,D55,E46
E37,E46,E47
E38,E39,E48
E38,E47,E48
E39,E40,E49
E39,E48,E49
E40,E41,E50
E40,E49,E50
E41,E42,E51
E41,E50,E51
E42,E43,E52
E42,E51,E52
E43,E44,E53
E43,E52,E53
E44,E45,E54
E44,E53,E54
E45,A37,E55
E45,E54,E55
A37,A47,A46
A37,E55,A46
A47,A48,A58
A47,A46,A57
A47,A57,A58
A48,A49,A59
A48,A58,A59
A49,A50,A60
A49,A59,A60
A50,A51,A61
A50,A60,A61
A51,A52,A62
A51,A61,A62
A52,A53,A63
A52,A62,A63
A53,A54,A64
A53,A63,A64
A54,A55,A65
A54,A64,A65
A55,B46,A66
A55,A65,A66
B46,B47,B57
B46,A66,B56
B46,B56,B57
B47,B48,B58
B47,B57,B58
B48,B49,B59
B48,B58,B59
B49,B50,B60
B49,B59,B60
B50,B51,B61
B50,B60,B61
B51,B52,B62
B51,B61,B62
B52,B53,B63
B52,B62,B63
B53,B54,B64
B53,B63,B64
B54,B55,B65
B54,B64,B65
B55,C46,B66
B55,B65,B66
C46,C47,C57
C46,B66,C56
C46,C56,C57
C47,C48,C58
C47,C57,C58
C48,C49,C59
C48,C58,C59
C49,C50,C60
C49,C59,C60
C50,C51,C61
C50,C60,C61
C51,C52,C62
C51,C61,C62
C52,C53,C63
C52,C62,C63
C53,C54,C64
C53,C63,C64
C54,C55,C65
C54,C64,C65
C55,D46,C66
C55,C65,C66
D46,D47,D57
D46,C66,D56
D46,D56,D57
D47,D48,D58
D47,D57,D58
D48,D49,D59
D48,D58,D59
D49,D50,D60
D49,D59,D60
D50,D51,D61
D50,D60,D61
D51,D52,D62
D51,D61,D62
D52,D53,D63
D52,D62,D63
D53,D54,D64
D53,D63,D64
D54,D55,D65
D54,D64,D65
D55,E46,D66
D55,D65,D66
E46,E47,E57
E46,D66,E56
E46,E56,E57
E47,E48,E58
E47,E57,E58
E48,E49,E59
E48,E58,E59
E49,E50,E60
E49,E59,E60
E50,E51,E61
E50,E60,E61
E51,E52,E62
E51,E61,E62
E52,E53,E63
E52,E62,E63
E53,E54,E64
E53,E63,E64
E54,E55,E65
E54,E64,E65
E55,A46,E66
E55,E65,E66
A46,A57,A56
A46,E66,A56
A57,A58,A69
A57,A56,A68
A57,A68,A69
A58,A59,A70
A58,A69,A70
A59,A60,A71
A59,A70,A71
A60,A61,A72
A60,A71,A72
A61,A62,A73
A61,A72,A73
A62,A63,A74
A62,A73,A74
A63,A64,A75
A63,A74,A75
A64,A65,A76
A64,A75,A76
A65,A66,A77
A65,A76,A77
A66,B56,A78
A66,A77,A78
B56,B57,B68
B56,A78,B67
B56,B67,B68
B57,B58,B69
B57,B68,B69
B58,B59,B70
B58,B69,B70
B59,B60,B71
B59,B70,B71
B60,B61,B72
B60,B71,B72
B61,B62,B73
B61,B72,B73
B62,B63,B74
B62,B73,B74
B63,B64,B75
B63,B74,B75
B64,B65,B76
B64,B75,B76
B65,B66,B77
B65,B76,B77
B66,C56,B78
B66,B77,B78
C56,C57,C68
C56,B78,C67
C56,C67,C68
C57,C58,C69
C57,C68,C69
C58,C59,C70
C58,C69,C70
C59,C60,C71
C59,C70,C71
C60,C61,C72
C60,C71,C72
C61,C62,C73
C61,C72,C73
C62,C63,C74
C62,C73,C74
C63,C64,C75
C63,C74,C75
C64,C65,C76
C64,C75,C76
C65,C66,C77
C65,C76,C77
C66,D56,C78
C66,C77,C78
D56,D57,D68
D56,C78,D67
D56,D67,D68
D57,D58,D69
D57,D68,D69
D58,D59,D70
D58,D69,D70
D59,D60,D71
D59,D70,D71
D60,D61,D72
D60,D71,D72
D61,D62,D73
D61,D72,D73
D62,D63,D74
D62,D73,D74
D63,D64,D75
D63,D74,D75
D64,D65,D76
D64,D75,D76
D65,D66,D77
D65,D76,D77
D66,E56,D78
D66,D77,D78
E56,E57,E68
E56,D78,E67
E56,E67,E68
E57,E58,E69
E57,E68,E69
E58,E59,E70
E58,E69,E70
E59,E60,E71
E59,E70,E71
E60,E61,E72
E60,E71,E72
E61,E62,E73
E61,E72,E73
E62,E63,E74
E62,E73,E74
E63,E64,E75
E63,E74,E75
E64,E65,E76
E64,E75,E76
E65,E66,E77
E65,E76,E77
E66,A56,E78
E66,E77,E78
A56,A68,A67
A56,E78,A67
A68,A69,A81
A68,A67,A80
A68,A80,A81
A69,A70,A82
A69,A81,A82
A70,A71,A83
A70,A82,A83
A71,A72,A84
A71,A83,A84
A72,A73,A85
A72,A84,A85
A73,A74,A86
A73,A85,A86
A74,A75,A87
A74,A86,A87
A75,A76,A88
A75,A87,A88
A76,A77,A89
A76,A88,A89
A77,A78,A90
A77,A89,A90
A78,B67,A91
A78,A90,A91
B67,B68,B80
B67,A91,B79
B67,B79,B80
B68,B69,B81
B68,B80,B81
B69,B70,B82
B69,B81,B82
B70,B71,B83
B70,B82,B83
B71,B72,B84
B71,B83,B84
B72,B73,B85
B72,B84,B85
B73,B74,B86
B73,B85,B86
B74,B75,B87
B74,B86,B87
B75,B76,B88
B75,B87,B88
B76,B77,B89
B76,B88,B89
B77,B78,B90
B77,B89,B90
B78,C67,B91
B78,B90,B91
C67,C68,C80
C67,B91,C79
C67,C79,C80
C68,C69,C81
C68,C80,C81
C69,C70,C82
C69,C81,C82
C70,C71,C83
C70,C82,C83
C71,C72,C84
C71,C83,C84
C72,C73,C85
C72,C84,C85
C73,C74,C86
C73,C85,C86
C74,C75,C87
C74,C86,C87
C75,C76,C88
C75,C87,C88
C76,C77,C89
C76,C88,C89
C77,C78,C90
C77,C89,C90
C78,D67,C91
C78,C90,C91
D67,D68,D80
D67,C91,D79
D67,D79,D80
D68,D69,D81
D68,D80,D81
D69,D70,D82
D69,D81,D82
D70,D71,D83
D70,D82,D83
D71,D72,D84
D71,D83,D84
D72,D73,D85
D72,D84,D85
D73,D74,D86
D73,D85,D86
D74,D75,D87
D74,D86,D87
D75,D76,D88
D75,D87,D88
D76,D77,D89
D76,D88,D89
D77,D78,D90
D77,D89,D90
D78,E67,D91
D78,D90,D91
E67,E68,E80
E67,D91,E79
E67,E79,E80
E68,E69,E81
E68,E80,E81
E69,E70,E82
E69,E81,E82
E70,E71,E83
E70,E82,E83
E71,E72,E84
E71,E83,E84
E72,E73,E85
E72,E84,E85
E73,E74,E86
E73,E85,E86
E74,E75,E87
E74,E86,E87
E75,E76,E88
E75,E87,E88
E76,E77,E89
E76,E88,E89
E77,E78,E90
E77,E89,E90
E78,A67,E91
E78,E90,E91
A67,A80,A79
A67,E91,A79
A80,A81,A94
A80,A79,A93
A80,A93,A94
A81,A82,A95
A81,A94,A95
A82,A83,A96
A82,A95,A96
A83,A84,A97
A83,A96,A97
A84,A85,A98
A84,A97,A98
A85,A86,A99
A85,A98,A99
A86,A87,A100
A86,A99,A100
A87,A88,A101
A87,A100,A101
A88,A89,A102
A88,A101,A102
A89,A90,A103
A89,A102,A103
A90,A91,A104
A90,A103,A104
A91,B79,A105
A91,A104,A105
B79,B80,B93
B79,A105,B92
B79,B92,B93
B80,B81,B94
B80,B93,B94
B81,B82,B95
B81,B94,B95
B82,B83,B96
B82,B95,B96
B83,B84,B97
B83,B96,B97
B84,B85,B98
B84,B97,B98
B85,B86,B99
B85,B98,B99
B86,B87,B100
B86,B99,B100
B87,B88,B101
B87,B100,B101
B88,B89,B102
B88,B101,B102
B89,B90,B103
B89,B102,B103
B90,B91,B104
B90,B103,B104
B91,C79,B105
B91,B104,B105
C79,C80,C93
C79,B105,C92
C79,C92,C93
C80,C81,C94
C80,C93,C94
C81,C82,C95
C81,C94,C95
C82,C83,C96
C82,C95,C96
C83,C84,C97
C83,C96,C97
C84,C85,C98
C84,C97,C98
C85,C86,C99
C85,C98,C99
C86,C87,C100
C86,C99,C100
C87,C88,C101
C87,C100,C101
C88,C89,C102
C88,C101,C102
C89,C90,C103
C89,C102,C103
C90,C91,C104
C90,C103,C104
C91,D79,C105
C91,C104,C105
D79,D80,D93
D79,C105,D92
D79,D92,D93
D80,D81,D94
D80,D93,D94
D81,D82,D95
D81,D94,D95
D82,D83,D96
D82,D95,D96
D83,D84,D97
D83,D96,D97
D84,D85,D98
D84,D97,D98
D85,D86,D99
D85,D98,D99
D86,D87,D100
D86,D99,D100
D87,D88,D101
D87,D100,D101
D88,D89,D102
D88,D101,D102
D89,D90,D103
D89,D102,D103
D90,D91,D104
D90,D103,D104
D91,E79,D105
D91,D104,D105
E79,E80,E93
E79,D105,E92
E79,E92,E93
E80,E81,E94
E80,E93,E94
E81,E82,E95
E81,E94,E95
E82,E83,E96
E82,E95,E96
E83,E84,E97
E83,E96,E97
E84,E85,E98
E84,E97,E98
E85,E86,E99
E85,E98,E99
E86,E87,E100
E86,E99,E100
E87,E88,E101
E87,E100,E101
E88,E89,E102
E88,E101,E102
E89,E90,E103
E89,E102,E103
E90,E91,E104
E90,E103,E104
E91,A79,E105
E91,E104,E105
A79,A93,A92
A79,E105,A92
A93,A94,A108
A93,A92,A107
A93,A107,A108
A94,A95,A109
A94,A108,A109
A95,A96,A110
A95,A109,A110
A96,A97,A111
A96,A110,A111
A97,A98,A112
A97,A111,A112
A98,A99,A113
A98,A112,A113
A99,A100,A114
A99,A113,A114
A100,A101,A115
A100,A114,A115
A101,A102,A116
A101,A115,A116
A102,A103,A117
A102,A116,A117
A103,A104,A118
A103,A117,A118
A104,A105,A119
A104,A118,A119
A105,B92,A120
A105,A119,A120
B92,B93,B107
B92,A120,B106
B92,B106,B107
B93,B94,B108
B93,B107,B108
B94,B95,B109
B94,B108,B109
B95,B96,B110
B95,B109,B110
B96,B97,B111
B96,B110,B111
B97,B98,B112
B97,B111,B112
B98,B99,B113
B98,B112,B113
B99,B100,B114
B99,B113,B114
B100,B101,B115
B100,B114,B115
B101,B102,B116
B101,B115,B116
B102,B103,B117
B102,B116,B117
B103,B104,B118
B103,B117,B118
B104,B105,B119
B104,B118,B119
B105,C92,B120
B105,B119,B120
C92,C93,C107
C92,B120,C106
C92,C106,C107
C93,C94,C108
C93,C107,C108
C94,C95,C109
C94,C108,C109
C95,C96,C110
C95,C109,C110
C96,C97,C111
C96,C110,C111
C97,C98,C112
C97,C111,C112
C98,C99,C113
C98,C112,C113
C99,C100,C114
C99,C113,C114
C100,C101,C115
C100,C114,C115
C101,C102,C116
C101,C115,C116
C102,C103,C117
C102,C116,C117
C103,C104,C118
C103,C117,C118
C104,C105,C119
C104,C118,C119
C105,D92,C120
C105,C119,C120
D92,D93,D107
D92,C120,D106
D92,D106,D107
D93,D94,D108
D93,D107,D108
D94,D95,D109
D94,D108,D109
D95,D96,D110
D95,D109,D110
D96,D97,D111
D96,D110,D111
D97,D98,D112
D97,D111,D112
D98,D99,D113
D98,D112,D113
D99,D100,D114
D99,D113,D114
D100,D101,D115
D100,D114,D115
D101,D102,D116
D101,D115,D116
D102,D103,D117
D102,D116,D117
D103,D104,D118
D103,D117,D118
D104,D105,D119
D104,D118,D119
D105,E92,D120
D105,D119,D120
E92,E93,E107
E92,D120,E106
E92,E106,E107
E93,E94,E108
E93,E107,E108
E94,E95,E109
E94,E108,E109
E95,E96,E110
E95,E109,E110
E96,E97,E111
E96,E110,E111
E97,E98,E112
E97,E111,E112
E98,E99,E113
E98,E112,E113
E99,E100,E114
E99,E113,E114
E100,E101,E115
E100,E114,E115
E101,E102,E116
E101,E115,E116
E102,E103,E117
E102,E116,E117
E103,E104,E118
E103,E117,E118
E104,E105,E119
E104,E118,E119
E105,A92,E120
E105,E119,E120
A92,A107,A106
A92,E120,A106
A107,A108,A123
A107,A106,A122
A107,A122,A123
A108,A109,A124
A108,A123,A124
A109,A110,A125
A109,A124,A125
A110,A111,A126
A110,A125,A126
A111,A112,A127
A111,A126,A127
A112,A113,A128
A112,A127,A128
A113,A114,A129
A113,A128,A129
A114,A115,A130
A114,A129,A130
A115,A116,A131
A115,A130,A131
A116,A117,A132
A116,A131,A132
A117,A118,A133
A117,A132,A133
A118,A119,A134
A118,A133,A134
A119,A120,A135
A119,A134,A135
A120,B106,A136
A120,A135,A136
B106,B107,B122
B106,A136,B121
B106,B121,B122
B107,B108,B123
B107,B122,B123
B108,B109,B124
B108,B123,B124
B109,B110,B125
B109,B124,B125
B110,B111,B126
B110,B125,B126
B111,B112,B127
B111,B126,B127
B112,B113,B128
B112,B127,B128
B113,B114,B129
B113,B128,B129
B114,B115,B130
B114,B129,B130
B115,B116,B131
B115,B130,B131
B116,B117,B132
B116,B131,B132
B117,B118,B133
B117,B132,B133
B118,B119,B134
B118,B133,B134
B119,B120,B135
B119,B134,B135
B120,C106,B136
B120,B135,B136
C106,C107,C122
C106,B136,C121
C106,C121,C122
C107,C108,C123
C107,C122,C123
C108,C109,C124
C108,C123,C124
C109,C110,C125
C109,C124,C125
C110,C111,C126
C110,C125,C126
C111,C112,C127
C111,C126,C127
C112,C113,C128
C112,C127,C128
C113,C114,C129
C113,C128,C129
C114,C115,C130
C114,C129,C130
C115,C116,C131
C115,C130,C131
C116,C117,C132
C116,C131,C132
C117,C118,C133
C117,C132,C133
C118,C119,C134
C118,C133,C134
C119,C120,C135
C119,C134,C135
C120,D106,C136
C120,C135,C136
D106,D107,D122
D106,C136,D121
D106,D121,D122
D107,D108,D123
D107,D122,D123
D108,D109,D124
D108,D123,D124
D109,D110,D125
D109,D124,D125
D110,D111,D126
D110,D125,D126
D111,D112,D127
D111,D126,D127
D112,D113,D128
D112,D127,D128
D113,D114,D129
D113,D128,D129
D114,D115,D130
D114,D129,D130
D115,D116,D131
D115,D130,D131
D116,D117,D132
D116,D131,D132
D117,D118,D133
D117,D132,D133
D118,D119,D134
D118,D133,D134
D119,D120,D135
D119,D134,D135
D120,E106,D136
D120,D135,D136
E106,E107,E122
E106,D136,E121
E106,E121,E122
E107,E108,E123
E107,E122,E123
E108,E109,E124
E108,E123,E124
E109,E110,E125
E109,E124,E125
E110,E111,E126
E110,E125,E126
E111,E112,E127
E111,E126,E127
E112,E113,E128
E112,E127,E128
E113,E114,E129
E113,E128,E129
E114,E115,E130
E114,E129,E130
E115,E116,E131
E115,E130,E131
E116,E117,E132
E116,E131,E132
E117,E118,E133
E117,E132,E133
E118,E119,E134
E118,E133,E134
E119,E120,E135
E119,E134,E135
E120,A106,E136
E120,E135,E136
A106,A122,A121
A106,E136,A121
A122,A123,A139
A122,A121,A138
A122,A138,A139
A123,A124,A140
A123,A139,A140
A124,A125,A141
A124,A140,A141
A125,A126,A142
A125,A141,A142
A126,A127,A143
A126,A142,A143
A127,A128,A144
A127,A143,A144
A128,A129,A145
A128,A144,A145
A129,A130,A146
A129,A145,A146
A130,A131,A147
A130,A146,A147
A131,A132,A148
A131,A147,A148
A132,A133,A149
A132,A148,A149
A133,A134,A150
A133,A149,A150
A134,A135,A151
A134,A150,A151
A135,A136,A152
A135,A151,A152
A136,B121,A153
A136,A152,A153
B121,B122,B138
B121,A153,B137
B121,B137,B138
B122,B123,B139
B122,B138,B139
B123,B124,B140
B123,B139,B140
B124,B125,B141
B124,B140,B141
B125,B126,B142
B125,B141,B142
B126,B127,B143
B126,B142,B143
B127,B128,B144
B127,B143,B144
B128,B129,B145
B128,B144,B145
B129,B130,B146
B129,B145,B146
B130,B131,B147
B130,B146,B147
B131,B132,B148
B131,B147,B148
B132,B133,B149
B132,B148,B149
B133,B134,B150
B133,B149,B150
B134,B135,B151
B134,B150,B151
B135,B136,B152
B135,B151,B152
B136,C121,B153
B136,B152,B153
C121,C122,C138
C121,B153,C137
C121,C137,C138
C122,C123,C139
C122,C138,C139
C123,C124,C140
C123,C139,C140
C124,C125,C141
C124,C140,C141
C125,C126,C142
C125,C141,C142
C126,C127,C143
C126,C142,C143
C127,C128,C144
C127,C143,C144
C128,C129,C145
C128,C144,C145
C129,C130,C146
C129,C145,C146
C130,C131,C147
C130,C146,C147
C131,C132,C148
C131,C147,C148
C132,C133,C149
C132,C148,C149
C133,C134,C150
C133,C149,C150
C134,C135,C151
C134,C150,C151
C135,C136,C152
C135,C151,C152
C136,D121,C153
C136,C152,C153
D121,D122,D138
D121,C153,D137
D121,D137,D138
D122,D123,D139
D122,D138,D139
D123,D124,D140
D123,D139,D140
D124,D125,D141
D124,D140,D141
D125,D126,D142
D125,D141,D142
D126,D127,D143
D126,D142,D143
D127,D128,D144
D127,D143,D144
D128,D129,D145
D128,D144,D145
D129,D130,D146
D129,D145,D146
D130,D131,D147
D130,D146,D147
D131,D132,D148
D131,D147,D148
D132,D133,D149
D132,D148,D149
D133,D134,D150
D133,D149,D150
D134,D135,D151
D134,D150,D151
D135,D136,D152
D135,D151,D152
D136,E121,D153
D136,D152,D153
E121,E122,E138
E121,D153,E137
E121,E137,E138
E122,E123,E139
E122,E138,E139
E123,E124,E140
E123,E139,E140
E124,E125,E141
E124,E140,E141
E125,E126,E142
E125,E141,E142
E126,E127,E143
E126,E142,E143
E127,E128,E144
E127,E143,E144
E128,E129,E145
E128,E144,E145
E129,E130,E146
E129,E145,E146
E130,E131,E147
E130,E146,E147
E131,E132,E148
E131,E147,E148
E132,E133,E149
E132,E148,E149
E133,E134,E150
E133,E149,E150
E134,E135,E151
E134,E150,E151
E135,E136,E152
E135,E151,E152
E136,A121,E153
E136,E152,E153
A121,A138,A137
A121,E153,A137
A138,A139,A156
A138,A137,A155
A138,A155,A156
A139,A140,A157
A139,A156,A157
A140,A141,A158
A140,A157,A158
A141,A142,A159
A141,A158,A159
A142,A143,A160
A142,A159,A160
A143,A144,A161
A143,A160,A161
A144,A145,A162
A144,A161,A162
A145,A146,A163
A145,A162,A163
A146,A147,A164
A146,A163,A164
A147,A148,A165
A147,A164,A165
A148,A149,A166
A148,A165,A166
A149,A150,A167
A149,A166,A167
A150,A151,A168
A150,A167,A168
A151,A152,A169
A151,A168,A169
A152,A153,A170
A152,A169,A170
A153,B137,A171
A153,A170,A171
B137,B138,B155
B137,A171,B154
B137,B154,B155
B138,B139,B156
B138,B155,B156
B139,B140,B157
B139,B156,B157
B140,B141,B158
B140,B157,B158
B141,B142,B159
B141,B158,B159
B142,B143,B160
B142,B159,B160
B143,B144,B161
B143,B160,B161
B144,B145,B162
B144,B161,B162
B145,B146,B163
B145,B162,B163
B146,B147,B164
B146,B163,B164
B147,B148,B165
B147,B164,B165
B148,B149,B166
B148,B165,B166
B149,B150,B167
B149,B166,B167
B150,B151,B168
B150,B167,B168
B151,B152,B169
B151,B168,B169
B152,B153,B170
B152,B169,B170
B153,C137,B171
B153,B170,B171
C137,C138,C155
C137,B171,C154
C137,C154,C155
C138,C139,C156
C138,C155,C156
C139,C140,C157
C139,C156,C157
C140,C141,C158
C140,C157,C158
C141,C142,C159
C141,C158,C159
C142,C143,C160
C142,C159,C160
C143,C144,C161
C143,C160,C161
C144,C145,C162
C144,C161,C162
C145,C146,C163
C145,C162,C163
C146,C147,C164
C146,C163,C164
C147,C148,C165
C147,C164,C165
C148,C149,C166
C148,C165,C166
C149,C150,C167
C149,C166,C167
C150,C151,C168
C150,C167,C168
C151,C152,C169
C151,C168,C169
C152,C153,C170
C152,C169,C170
C153,D137,C171
C153,C170,C171
D137,D138,D155
D137,C171,D154
D137,D154,D155
