   距离（米）   方位（度）  仰角（度）   时间（秒） 传感器标号
   76677.04       97.34        1.72       60.20       1
   76751.82       83.61        2.96       60.70       1
   76853.12       96.37        1.90       60.80       1
   76714.38       83.55        2.32       61.30       1
   76532.47       96.40        2.08       61.40       1
   76504.83       83.72        2.60       61.90       1
   76526.28       96.42        3.03       62.00       1
   76636.53       84.46        2.84       62.50       1
   76535.34       96.04        2.43       62.60       1
   76491.78       84.31        3.29       63.10       1
   76425.77       96.19        2.44       63.20       1
   76474.09       83.36        2.77       63.70       1
   76546.13       96.51        2.48       63.80       1
   76207.14       83.74        2.81       64.30       1
   76360.66       96.18        2.35       64.40       1
   76334.58       84.34        2.24       64.90       1
   76175.17       96.17        2.25       65.00       1
   76212.92       84.56        2.33       65.50       1
   76213.15       95.48        2.21       65.60       1
   76163.81       84.50        2.50       66.10       1
   75984.71       95.35        2.47       66.20       1
   76127.90       84.56        2.52       66.70       1
   76054.69       95.61        2.41       66.80       1
   76174.24       85.03        2.51       67.30       1
   75913.20       95.36        2.17       67.40       1
   76019.23       84.27        2.85       67.90       1
   76061.07       95.16        2.29       68.00       1
   75886.27       85.15        3.05       68.50       1
   75844.56       94.98        3.00       68.60       1
   76011.81       84.82        2.52       69.10       1
   75791.76       95.12        2.41       69.20       1
   75853.16       85.11        3.06       69.70       1
   75691.69       94.76        2.41       69.80       1
   75782.70       84.98        2.39       70.30       1
   75862.50       95.29        2.26       70.40       1
   75689.48       85.68        2.59       70.90       1
   75788.04       94.51        2.06       71.00       1
   75593.06       85.31        2.61       71.50       1
   75521.37       94.17        2.36       71.60       1
   75695.27       85.64        2.77       72.10       1
   75174.46       94.76        1.91       72.20       1
   75518.43       85.66        2.56       72.70       1
   75473.86       94.26        2.69       72.80       1
   75221.28       85.40        2.90       73.30       1
   75435.25       94.29        1.54       73.40       1
   75574.07       85.20        2.59       73.90       1
   75266.61       93.83        2.40       74.00       1
   75272.79       85.13        2.26       74.50       1
   75373.94       94.16        2.07       74.60       1
   75253.42       86.79        2.60       75.10       1
   75254.93       93.90        1.79       75.20       1
   75280.57       85.86        2.37       75.70       1
   75200.83       93.51        2.19       75.80       1
   74994.30       86.41        2.82       76.30       1
   74974.56       93.50        2.68       76.40       1
   75097.97       86.55        3.06       76.90       1
   75140.45       93.62        1.46       77.00       1
   75032.58       86.39        2.54       77.50       1
   74888.28       93.41        2.33       77.60       1
   74871.26       86.48        2.88       78.10       1
   74888.96       93.33        1.87       78.20       1
   74669.38       86.35        2.70       78.70       1
   74911.53       93.52        2.43       78.80       1
   74701.45       86.05        2.71       79.30       1
   74874.04       92.68        2.18       79.40       1
   74891.81       86.71        2.76       79.90       1
   74733.26       93.06        2.75       80.00       1
   74624.35       86.96        2.56       80.50       1
   74747.51       92.88        2.05       80.60       1
   74515.69       87.66        3.37       81.10       1
   74552.98       93.00        1.74       81.20       1
   74475.10       87.27        2.21       81.70       1
   74561.69       92.73        2.78       81.80       1
   74561.26       87.45        2.62       82.30       1
   74450.89       92.76        2.42       82.40       1
   74442.61       87.98        2.78       82.90       1
   74384.21       92.53        2.13       83.00       1
   74352.62       87.32        2.21       83.50       1
   74393.13       92.48        2.48       83.60       1
   74311.46       88.02        2.71       84.10       1
   74270.89       92.14        2.85       84.20       1
   74136.47       88.13        2.76       84.70       1
   74070.28       92.07        2.41       84.80       1
   74134.46       87.80        3.05       85.30       1
   74174.97       92.69        1.68       85.40       1
   74056.31       88.39        3.13       85.90       1
   74217.88       92.27        2.28       86.00       1
   74117.36       87.90        2.46       86.50       1
   73985.01       92.08        2.64       86.60       1
   73990.13       87.50        2.69       87.10       1
   73899.99       91.72        2.64       87.20       1
   74057.45       88.51        2.25       87.70       1
   73914.14       91.73        2.09       87.80       1
   73826.80       88.07        2.39       88.30       1
   73928.65       92.33        2.46       88.40       1
   73741.54       88.23        2.14       88.90       1
   73869.27       91.98        2.61       89.00       1
   73925.79       88.49        3.13       89.50       1
   73922.66       91.59        1.49       89.60       1
   73747.35       88.25        2.78       90.10       1
   73604.78       91.09        2.33       90.20       1
   73562.88       88.65        2.52       90.70       1
   73577.55       91.54        2.02       90.80       1
   73665.72       89.40        2.84       91.30       1
   73517.12       90.84        2.57       91.40       1
   73567.21       88.86        2.66       91.90       1
   73522.88       91.14        2.49       92.00       1
   73504.86       89.33        2.70       92.50       1
   73572.60       90.89        2.27       92.60       1
   73320.62       89.02        2.45       93.10       1
   73429.67       91.02        2.77       93.20       1
   73394.76       88.95        3.20       93.70       1
   73383.74       89.47        2.65       94.30       1
   73299.39       90.04        2.39       94.90       1
   73251.98       88.84        2.47       95.50       1
   73354.49       89.27        1.96       96.10       1
   73258.89       87.68        2.65       96.70       1
   73169.40       89.86        2.19       97.30       1
   72919.26       89.47        2.33       97.90       1
   73025.98       90.23        2.69       98.50       1
   72959.18       90.80        2.91       99.10       1
   72880.69       89.57        2.73       99.70       1
   72887.00       90.04        3.82      100.30       1
   72752.82       90.25        2.94      100.90       1
   72837.63       89.28        2.36      100.90       1
   72736.03       90.87        2.70      101.50       1
   72804.84       89.36        2.06      101.50       1
   72771.35       91.02        2.43      102.10       1
   72595.47       88.92        1.98      102.10       1
   72682.72       91.55        2.78      102.70       1
   72766.34       88.64        1.90      102.70       1
   72621.83       91.33        2.62      103.30       1
   72626.73       88.89        2.29      103.30       1
   72512.92       91.16        3.16      103.90       1
   72539.01       89.10        2.03      103.90       1
   72556.01       91.34        2.70      104.50       1
   72418.14       88.11        2.99      104.50       1
   72564.39       91.03        2.74      105.10       1
   72514.74       88.35        2.64      105.10       1
   72633.71       91.44        2.64      105.70       1
   72575.15       88.42        1.98      105.70       1
   72365.26       91.51        2.74      106.30       1
   72449.20       88.33        2.41      106.30       1
   72459.47       91.65        2.83      106.90       1
   72359.94       88.07        2.86      106.90       1
   72242.15       91.50        3.04      107.50       1
   72270.81       87.71        2.34      107.50       1
   72118.37       91.91        2.60      108.10       1
   72359.38       88.44        2.54      108.10       1
   72265.30       92.32        3.03      108.70       1
   72179.11       87.77        2.58      108.70       1
   72021.50       92.31        3.09      109.30       1
   72086.21       87.86        2.17      109.30       1
   72208.81       92.31        2.73      109.90       1
   72118.13       87.52        2.33      109.90       1
   72014.45       92.43        3.20      110.50       1
   72050.55       87.60        2.32      110.50       1
   72035.31       92.56        2.79      111.10       1
   71940.30       87.67        2.33      111.10       1
   71939.33       92.52        2.88      111.70       1
   71900.64       86.86        2.37      111.70       1
   71982.62       92.83        2.75      112.30       1
   71918.89       87.02        2.17      112.30       1
   71922.15       92.96        3.12      112.90       1
   71842.35       87.02        2.52      112.90       1
   71809.01       93.41        2.80      113.50       1
   71843.36       86.97        2.44      113.50       1
   71614.78       92.78        2.92      114.10       1
   71763.58       86.86        2.17      114.10       1
   71685.35       93.84        3.01      114.70       1
   71683.00       86.15        2.37      114.70       1
   71627.63       93.32        2.58      115.30       1
   71630.21       86.74        2.38      115.30       1
   71521.49       92.90        2.28      115.90       1
   71511.69       86.46        2.21      115.90       1
   71828.22       93.83        2.28      116.50       1
   71806.31       86.47        2.45      116.50       1
   71641.48       94.20        2.72      117.10       1
   71716.01       86.36        2.64      117.10       1
   71433.97       93.47        2.88      117.70       1
   71597.26       86.43        2.47      117.70       1
   71332.82       94.05        2.84      118.30       1
   71437.58       86.41        2.58      118.30       1
   71309.67       93.82        3.03      118.90       1
   71389.31       86.08        2.57      118.90       1
   71369.76       94.38        2.73      119.50       1
   71609.02       86.02        2.16      119.50       1
   71360.07       94.15        2.92      120.10       1
   71382.63       85.48        2.84      120.10       1
   71377.23       94.21        3.36      120.70       1
   71194.79       85.48        2.14      120.70       1
   71334.27       94.60        2.69      121.30       1
   71297.40       85.48        2.04      121.30       1
   71324.56       94.63        2.63      121.90       1
   71336.11       85.29        2.01      121.90       1
   71165.47       94.68        2.33      122.50       1
   71325.32       85.57        2.33      122.50       1
   71103.75       94.91        2.52      123.10       1
   71267.64       85.26        2.40      123.10       1
   71438.01       95.16        3.19      123.70       1
   71130.42       84.67        3.19      123.70       1
   71244.66       94.66        2.68      124.30       1
   71177.20       84.74        2.83      124.30       1
   70971.86       95.10        2.60      124.90       1
   70923.20       84.61        2.20      124.90       1
   71078.02       94.96        2.86      125.50       1
   71250.21       84.15        2.84      125.50       1
   70923.99       95.19        2.70      126.10       1
   71089.51       84.54        2.43      126.10       1
   70663.91       95.20        3.24      126.70       1
   71160.16       84.46        2.43      126.70       1
   70953.10       95.00        3.00      127.30       1
   70816.77       84.05        2.72      127.30       1
   70816.06       95.65        2.80      127.90       1
   70916.54       84.57        2.13      127.90       1
   70676.02       95.57        2.90      128.50       1
   70841.86       84.00        2.27      128.50       1
   70763.90       95.86        3.17      129.10       1
   70660.68       84.05        2.04      129.10       1
   70544.31       96.23        2.64      129.70       1
   70375.06       83.84        2.36      129.70       1
   70310.45       96.21        3.07      130.30       1
   70451.03       84.43        2.35      130.30       1
   70199.59       96.00        2.72      130.90       1
   70309.89       83.86        2.79      130.90       1
   70207.03       96.45        2.64      131.50       1
   70104.02       83.51        2.51      131.50       1
   70177.99       96.39        2.80      132.10       1
   69842.63       83.83        2.69      132.10       1
   69988.17       96.42        3.06      132.70       1
   69806.20       83.50        2.66      132.70       1
   69911.61       95.92        2.59      133.30       1
   69666.60       83.39        2.09      133.30       1
   69743.53       96.49        2.97      133.90       1
   69766.47       82.95        2.27      133.90       1
   69500.32       96.40        2.84      134.50       1
   69401.01       83.49        2.48      134.50       1
   69365.84       96.73        2.80      135.10       1
   69361.66       83.07        3.06      135.10       1
   69330.89       96.51        3.35      135.70       1
   69236.35       83.33        2.66      135.70       1
   68966.16       97.26        2.65      136.30       1
   69174.54       82.54        2.45      136.30       1
   68874.44       96.41        2.77      136.90       1
   68822.55       82.98        2.60      136.90       1
   68834.57       96.38        3.16      137.50       1
   68792.15       83.10        2.03      137.50       1
   68496.60       96.40        2.13      138.10       1
   68579.31       82.40        2.52      138.10       1
   68437.96       97.06        3.26      138.70       1
   68456.66       83.40        2.25      138.70       1
   68419.96       96.69        2.42      139.30       1
   68219.64       82.55        2.83      139.30       1
   68276.15       96.88        3.01      139.90       1
   68213.48       83.63        2.62      139.90       1
   67986.02       96.43        2.84      140.50       1
   67901.25       83.14        2.62      140.50       1
   67850.12       96.63        2.64      141.10       1
   68004.06       83.14        3.30      141.10       1
   67886.46       96.27        3.66      141.70       1
   67825.43       82.91        2.27      141.70       1
   67694.97       96.12        2.84      142.30       1
   67647.18       83.73        2.85      142.30       1
   67448.94       96.53        3.19      142.90       1
   67524.16       83.74        2.34      142.90       1
   67261.70       97.06        2.96      143.50       1
   67423.96       83.72        2.33      143.50       1
   67249.76       96.36        2.87      144.10       1
   67174.67       83.43        2.86      144.10       1
   67052.60       96.27        2.76      144.70       1
   67206.90       83.93        2.59      144.70       1
   66991.75       96.35        2.50      145.30       1
   67049.71       83.85        2.61      145.30       1
   67171.72       95.98        3.06      145.90       1
   67103.13       84.07        2.61      145.90       1
   66725.84       95.95        2.77      146.50       1
   66792.17       83.90        2.21      146.50       1
   66689.36       96.17        3.28      147.10       1
   66682.96       84.03        2.23      147.10       1
   66478.27       96.03        2.59      147.70       1
   66528.31       84.11        2.30      147.70       1
   66586.09       95.84        2.59      148.30       1
   66757.40       84.23        2.16      148.30       1
   66735.53       95.24        2.83      148.90       1
   66838.19       84.65        2.99      148.90       1
   66770.34       95.51        2.67      149.50       1
   66721.24       84.03        2.62      149.50       1
   66518.14       95.31        2.98      150.10       1
   66366.21       85.39        2.31      150.10       1
   66661.87       95.06        2.82      150.70       1
   66484.38       84.90        2.97      150.70       1
   66224.61       94.95        3.49      151.30       1
   66219.00       85.51        2.59      151.30       1
   66390.18       95.12        3.21      151.90       1
   66562.92       84.65        2.49      151.90       1
   66252.63       94.70        2.58      152.50       1
   66294.07       85.38        2.78      152.50       1
   66227.96       94.90        3.27      153.10       1
   66125.35       84.92        2.40      153.10       1
   66105.44       94.75        3.01      153.70       1
   66033.02       85.48        3.28      153.70       1
   65965.71       94.35        2.99      154.30       1
   65924.74       85.63        2.82      154.30       1
   66029.52       94.22        3.05      154.90       1
   66060.09       85.73        2.96      154.90       1
   65838.62       93.85        3.04      155.50       1
   65919.15       85.62        2.98      155.50       1
   65742.31       94.10        2.88      156.10       1
   65850.05       86.06        3.02      156.10       1
   65705.99       93.89        3.23      156.70       1
   65662.30       85.93        3.02      156.70       1
   65626.81       94.33        3.34      157.30       1
   65449.53       85.73        2.46      157.30       1
   65419.63       93.40        2.63      157.90       1
   65599.51       85.83        2.78      157.90       1
   65364.81       93.68        3.41      158.50       1
   65229.40       86.40        2.83      158.50       1
   65496.74       93.19        3.12      159.10       1
   65475.54       85.92        2.30      159.10       1
   65141.69       93.80        3.22      159.70       1
   65250.71       86.34        2.26      159.70       1
   65311.30       93.84        3.08      160.30       1
   65273.97       86.14        2.58      160.30       1
   65206.93       93.16        3.61      160.90       1
   65123.46       86.75        2.63      160.90       1
   65205.47       93.50        3.23      161.50       1
   65114.52       86.78        2.43      161.50       1
   65072.19       92.98        2.75      162.10       1
   64917.23       86.67        3.35      162.10       1
   64988.12       93.56        3.23      162.70       1
   65148.70       87.09        2.96      162.70       1
   65002.81       92.97        3.03      163.30       1
   65091.87       87.29        2.21      163.30       1
   64846.75       92.53        2.79      163.90       1
   64882.51       86.65        2.76      163.90       1
   64756.85       92.38        2.78      164.50       1
   64736.16       87.54        2.92      164.50       1
   64737.86       92.44        2.79      165.10       1
   64386.59       87.19        2.60      165.10       1
   64601.06       92.18        3.43      165.70       1
   64605.81       87.48        2.78      165.70       1
   64555.83       92.11        3.59      166.30       1
   64525.66       86.97        2.57      166.30       1
   64517.31       91.60        3.60      166.90       1
   64456.00       87.37        2.57      166.90       1
   64451.30       91.97        2.97      167.50       1
   64376.14       87.71        2.44      167.50       1
   64454.61       91.92        3.18      168.10       1
   64377.59       87.95        2.78      168.10       1
   64235.40       91.94        3.24      168.70       1
   64408.61       88.15        2.47      168.70       1
   64194.43       91.94        3.36      169.30       1
   64150.25       88.26        2.76      169.30       1
   64177.11       91.96        3.63      169.90       1
   64085.37       88.23        2.96      169.90       1
   64110.49       91.09        3.21      170.50       1
   64038.10       88.49        2.74      170.50       1
   63843.68       91.55        3.28      171.10       1
   63968.90       88.82        2.32      171.10       1
   63722.81       91.52        3.12      171.70       1
   63847.78       88.61        2.60      171.70       1
   63847.94       91.48        3.42      172.30       1
   63913.42       88.49        2.51      172.30       1
   63694.33       91.36        3.72      172.90       1
   63663.86       89.19        2.98      172.90       1
   63636.34       91.17        3.18      173.50       1
   63895.93       89.22        3.31      173.50       1
   63582.74       90.50        3.32      174.10       1
   63527.61       88.98        2.52      174.10       1
   63445.38       89.76        2.13      174.70       1
   63615.23       91.08        3.07      175.30       1
   63409.24       90.39        3.44      175.90       1
   63388.25       90.98        2.69      176.50       1
   63374.99       90.04        3.33      177.10       1
   63071.28       88.60        4.64      177.70       1
   63240.42       90.98        4.16      178.30       1
   62974.72       90.48        1.88      178.90       1
   62930.90       89.97        2.81      179.50       1
   62887.98       89.75        3.30      180.10       1
   62861.12       90.44        2.41      180.70       1
   62929.71       90.92        3.01      180.80       1
   62846.02       89.57        3.07      181.30       1
   62950.10       90.88        3.25      181.40       1
   62640.49       88.73        3.34      181.90       1
   62786.20       90.91        2.46      182.00       1
   62801.67       88.99        3.14      182.50       1
   62529.63       91.01        3.29      182.60       1
   62522.86       88.67        2.93      183.10       1
   62561.90       91.53        2.59      183.20       1
   62631.56       88.62        2.99      183.70       1
   62605.13       91.44        2.57      183.80       1
   62698.03       89.27        3.43      184.30       1
   62207.96       91.05        2.83      184.40       1
   62721.46       88.70        3.02      184.90       1
   62235.40       91.70        2.60      185.00       1
   62334.78       88.27        3.33      185.50       1
   62510.95       91.70        2.59      185.60       1
   62260.63       88.34        3.12      186.10       1
   62298.31       91.51        2.99      186.20       1
   62202.41       87.72        2.95      186.70       1
   62311.52       92.25        2.78      186.80       1
   62153.48       87.59        3.54      187.30       1
   62166.13       91.82        2.94      187.40       1
   62168.28       88.27        3.69      187.90       1
   62067.71       92.65        2.56      188.00       1
   62234.86       87.87        2.98      188.50       1
   61946.58       92.48        3.11      188.60       1
   61993.26       88.07        3.50      189.10       1
   62136.79       92.15        2.81      189.20       1
   62015.04       87.37        2.89      189.70       1
   61838.86       92.01        2.45      189.80       1
   61863.15       87.11        3.09      190.30       1
   61934.54       92.85        2.46      190.40       1
   61881.66       87.29        3.64      190.90       1
   61648.60       92.78        2.76      191.00       1
   61815.30       86.90        3.07      191.50       1
   61864.29       92.67        2.92      191.60       1
   61792.98       87.12        2.80      192.10       1
   61970.64       93.00        2.79      192.20       1
   61567.53       87.17        3.35      192.70       1
   61703.53       93.00        2.78      192.80       1
   61443.18       86.96        3.39      193.30       1
   61517.55       92.98        2.76      193.40       1
   61441.30       86.67        3.47      193.90       1
   61588.77       93.39        2.82      194.00       1
   61656.30       86.73        3.26      194.50       1
   61559.42       94.24        2.65      194.60       1
   61488.62       86.18        3.10      195.10       1
   61397.24       93.64        3.18      195.20       1
   61318.79       86.95        3.53      195.70       1
   61422.67       93.57        2.98      195.80       1
   61092.86       85.51        3.15      196.30       1
   61410.93       93.76        2.68      196.40       1
   61285.59       85.74        2.98      196.90       1
   61265.98       94.49        2.75      197.00       1
   61335.89       86.39        3.60      197.50       1
   61073.23       94.61        3.10      197.60       1
   61107.98       85.99        3.36      198.10       1
   61314.71       94.51        2.92      198.20       1
   61123.44       85.46        3.51      198.70       1
   61182.78       94.22        3.10      198.80       1
   61042.83       85.75        3.27      199.30       1
   60994.46       94.80        2.49      199.40       1
   60920.20       85.13        3.83      199.90       1
   60998.47       94.55        3.33      200.00       1
   61012.22       85.56        3.54      200.50       1
   60823.57       94.48        2.76      200.60       1
   61128.79       84.98        3.32      201.10       1
   60812.52       95.28        2.61      201.20       1
   60841.80       85.16        3.83      201.70       1
   60791.90       95.47        3.16      201.80       1
   60810.03       84.75        3.01      202.30       1
   61017.53       95.57        2.57      202.40       1
   60629.58       84.45        3.49      202.90       1
   60777.57       95.25        2.82      203.00       1
   60680.17       84.66        3.54      203.50       1
   60473.08       95.50        3.14      203.60       1
   60662.66       83.84        3.81      204.10       1
   60551.94       95.70        3.55      204.20       1
   60778.15       83.83        3.41      204.70       1
   60485.97       96.46        2.46      204.80       1
   60556.53       84.10        3.79      205.30       1
   60587.37       96.44        2.39      205.40       1
   60476.92       83.87        3.59      205.90       1
   60435.40       96.65        3.08      206.00       1
   60338.36       84.24        3.62      206.50       1
   60441.75       95.82        2.50      206.60       1
   60372.49       84.06        3.11      207.10       1
   60483.58       96.68        3.17      207.20       1
   60290.85       83.77        3.24      207.70       1
   60246.74       96.66        2.44      207.80       1
   60302.40       83.24        2.76      208.30       1
   60284.86       96.39        2.25      208.40       1
   60225.93       83.24        3.14      208.90       1
   60106.51       96.56        2.61      209.00       1
   60127.00       82.67        3.61      209.50       1
   60179.40       96.38        2.99      209.60       1
   59970.81       83.21        3.04      210.10       1
   60070.17       97.30        2.69      210.20       1
   60130.62       82.86        3.44      210.70       1
   59906.13       96.67        2.87      210.80       1
   59993.84       82.59        3.36      211.30       1
   60247.07       97.28        2.92      211.40       1
   60082.69       83.08        3.23      211.90       1
   59884.19       97.47        3.37      212.00       1
   59855.75       82.96        2.59      212.50       1
   59898.19       97.96        3.46      212.60       1
   59862.15       82.88        3.15      213.10       1
   59812.29       97.98        3.34      213.20       1
   59862.30       81.92        3.48      213.70       1
   59793.25       97.69        2.71      213.80       1
   59622.87       82.25        3.17      214.30       1
   59746.22       97.66        2.84      214.40       1
   59988.94       81.60        3.67      214.90       1
   59774.00       97.53        2.94      215.00       1
   59929.62       81.43        3.15      215.50       1
   59733.86       98.43        2.69      215.60       1
   59725.00       81.39        3.28      216.10       1
   59454.08       98.06        2.74      216.20       1
