  距离（米）    方位（度）   仰角（度）  时间（秒） 传感器标号 
 1194155.19      283.32        9.84    14567.00      1
 1192298.47      283.16        9.44    14568.00      1
 1190690.58      282.57       10.08    14569.00      1
 1189092.28      282.14        9.88    14570.00      1
 1187272.03      282.20       10.50    14571.00      1
 1185361.13      282.97       10.12    14572.00      1
 1183959.64      282.68       10.53    14573.00      1
 1182167.34      282.56       10.48    14574.00      1
 1180493.37      282.72       10.49    14575.00      1
 1178801.89      282.94       10.36    14576.00      1
 1177180.03      283.10       10.82    14577.00      1
 1175616.08      283.02       10.83    14578.00      1
 1173815.70      282.81       10.73    14579.00      1
 1172118.68      282.59       11.10    14580.00      1
 1170433.21      282.43       10.98    14581.00      1
 1168675.77      282.87       10.94    14582.00      1
 1167176.30      282.63       10.96    14583.00      1
 1165340.92      282.52       11.36    14584.00      1
 1163616.54      282.95       11.86    14585.00      1
 1161749.64      282.70       11.04    14586.00      1
 1160022.51      282.72       11.67    14587.00      1
 1158436.82      282.15       11.11    14588.00      1
 1156788.53      282.26       11.69    14589.00      1
 1155178.56      283.18       11.72    14590.00      1
 1153456.25      283.00       11.68    14591.00      1
 1151853.20      283.06       12.08    14592.00      1
 1149849.32      283.07       11.48    14593.00      1
 1148388.54      283.24       11.64    14594.00      1
 1146938.75      283.14       12.07    14595.00      1
 1145088.11      282.49       12.29    14596.00      1
 1143386.07      282.49       12.64    14597.00      1
 1141586.19      282.98       11.96    14598.00      1
 1139937.39      282.89       11.92    14599.00      1
 1138238.04      282.76       12.84    14600.00      1
 1136431.35      282.82       12.57    14601.00      1
 1134588.96      283.24       12.76    14602.00      1
 1132953.21      282.90       12.83    14603.00      1
 1131420.88      283.17       12.55    14604.00      1
 1129730.81      282.95       13.13    14605.00      1
 1128000.82      283.19       13.34    14606.00      1
 1126115.17      283.27       13.16    14607.00      1
 1124606.62      282.62       13.05    14608.00      1
 1122723.21      282.99       13.44    14609.00      1
 1120972.83      282.74       12.87    14610.00      1
 1119476.18      282.91       13.38    14611.00      1
 1117574.87      282.91       13.47    14612.00      1
 1116062.31      282.99       13.93    14613.00      1
 1114243.38      282.27       13.82    14614.00      1
 1112570.01      282.42       13.34    14615.00      1
 1110769.64      283.14       13.80    14616.00      1
 1109043.45      282.95       14.22    14617.00      1
 1107429.47      283.05       14.07    14618.00      1
 1105606.00      283.15       14.22    14619.00      1
 1103985.59      281.94       14.33    14620.00      1
 1102085.10      282.97       14.55    14621.00      1
 1100517.95      283.11       14.12    14622.00      1
 1098764.87      283.38       14.50    14623.00      1
 1097139.70      283.05       14.77    14624.00      1
 1095235.00      283.06       14.53    14625.00      1
 1093446.17      282.55       14.81    14626.00      1
 1091866.41      283.51       15.02    14627.00      1
 1090074.79      282.79       14.80    14628.00      1
 1088235.18      283.11       15.31    14629.00      1
 1086828.09      282.66       15.18    14630.00      1
 1084925.88      282.98       15.20    14631.00      1
 1083283.34      283.10       15.02    14632.00      1
 1081565.33      282.65       15.38    14633.00      1
 1079675.84      283.27       15.27    14634.00      1
 1077972.99      283.08       14.97    14635.00      1
 1076303.25      282.99       15.70    14636.00      1
 1074520.46      283.10       15.42    14637.00      1
 1072657.40      283.10       15.73    14638.00      1
 1071120.07      282.56       16.20    14639.00      1
 1069251.18      283.20       16.29    14640.00      1
 1067506.46      283.12       15.76    14641.00      1
 1065856.83      282.92       16.12    14642.00      1
 1063898.96      282.30       16.30    14643.00      1
 1062360.03      283.52       16.43    14644.00      1
 1060438.97      282.68       15.92    14645.00      1
 1058856.60      283.13       16.10    14646.00      1
 1056886.13      282.96       16.12    14647.00      1
 1055202.34      282.44       17.22    14648.00      1
 1053405.82      282.90       16.66    14649.00      1
 1051774.84      283.30       16.44    14650.00      1
 1049985.56      282.81       16.88    14651.00      1
 1048145.00      283.48       16.43    14652.00      1
 1046276.77      282.85       16.98    14653.00      1
 1044723.50      282.64       17.73    14654.00      1
 1042783.00      282.93       16.60    14655.00      1
 1041162.33      283.10       17.05    14656.00      1
 1039260.08      283.33       16.92    14657.00      1
 1037605.77      283.01       17.32    14658.00      1
 1035743.55      282.62       17.20    14659.00      1
 1033917.23      283.09       16.76    14660.00      1
 1032111.98      283.87       16.83    14661.00      1
 1030448.24      283.14       17.77    14662.00      1
 1028795.64      282.99       17.15    14663.00      1
 1026908.55      283.00       17.27    14664.00      1
 1024967.59      283.13       17.47    14665.00      1
 1023181.51      283.07       17.69    14666.00      1
 1021438.62      283.25       18.57    14667.00      1
 1019689.97      283.69       18.08    14668.00      1
 1017820.50      283.01       18.12    14669.00      1
 1016008.12      283.45       18.67    14670.00      1
 1014169.60      283.27       18.27    14671.00      1
 1012444.62      282.39       18.29    14672.00      1
 1010739.84      283.70       18.45    14673.00      1
 1008623.00      282.68       18.47    14674.00      1
 1006995.32      283.47       18.46    14675.00      1
 1005186.79      283.18       18.04    14676.00      1
 1003241.72      283.57       18.49    14677.00      1
 1001492.33      283.31       18.27    14678.00      1
  999702.37      282.99       18.59    14679.00      1
  997861.13      283.15       18.57    14680.00      1
  995887.26      282.96       18.99    14681.00      1
  994233.71      283.12       18.74    14682.00      1
  992361.06      283.33       19.07    14683.00      1
  990678.98      283.49       18.86    14684.00      1
  988613.75      283.19       18.97    14685.00      1
  986913.18      282.63       19.33    14686.00      1
  985146.03      283.10       19.22    14687.00      1
  983159.59      283.41       19.67    14688.00      1
  981304.01      283.03       20.07    14689.00      1
  979654.52      282.99       19.28    14690.00      1
  977615.65      283.28       19.61    14691.00      1
  975855.13      283.18       19.95    14692.00      1
  973869.83      283.02       19.75    14693.00      1
  972133.66      282.96       19.42    14694.00      1
  970384.55      283.66       19.72    14695.00      1
  968379.05      283.56       19.75    14696.00      1
  966643.54      282.99       19.66    14697.00      1
  964610.68      283.10       19.89    14698.00      1
  962699.71      282.76       20.10    14699.00      1
  961030.28      283.32       20.19    14700.00      1
  958664.91      283.46       19.77    14701.00      1
  957160.03      283.25       20.11    14702.00      1
  955265.55      283.07       20.68    14703.00      1
  953158.54      282.88       20.58    14704.00      1
  951517.16      283.21       19.67    14705.00      1
  949795.91      282.59       20.40    14706.00      1
  947627.62      282.86       20.66    14707.00      1
  945767.99      282.42       20.19    14708.00      1
  944002.78      283.30       20.45    14709.00      1
  942010.67      283.98       20.66    14710.00      1
  940140.19      283.15       20.30    14711.00      1
  938288.38      282.95       20.56    14712.00      1
  936330.97      282.87       20.83    14713.00      1
  934241.08      283.41       21.14    14714.00      1
  932337.93      282.97       21.44    14715.00      1
  930572.01      283.45       21.50    14716.00      1
  928725.25      283.20       20.34    14717.00      1
  926722.00      283.18       21.10    14718.00      1
  924682.60      283.10       21.34    14719.00      1
  922764.08      283.18       21.56    14720.00      1
  920880.74      283.13       21.00    14721.00      1
  918753.51      282.94       21.50    14722.00      1
  917088.61      283.43       21.68    14723.00      1
  914964.63      282.55       21.64    14724.00      1
  913224.11      282.70       21.56    14725.00      1
  911321.68      283.11       21.81    14726.00      1
  909243.89      283.20       22.25    14727.00      1
  907208.42      283.25       21.74    14728.00      1
  905406.16      283.13       21.66    14729.00      1
  903241.35      283.86       22.66    14730.00      1
  901346.96      283.36       21.47    14731.00      1
  899329.61      283.37       21.61    14732.00      1
  897478.21      283.21       22.64    14733.00      1
  895531.76      283.45       22.14    14734.00      1
  893477.04      283.34       22.39    14735.00      1
  891516.13      283.88       22.42    14736.00      1
  889506.92      283.22       22.22    14737.00      1
  887516.03      283.12       21.97    14738.00      1
  885599.26      283.29       22.68    14739.00      1
  883551.55      283.71       22.58    14740.00      1
  881547.14      283.06       23.17    14741.00      1
  879439.90      283.72       22.75    14742.00      1
  877403.25      283.11       22.84    14743.00      1
  875487.75      283.29       23.16    14744.00      1
  873551.13      283.84       22.23    14745.00      1
  871445.89      283.78       23.34    14746.00      1
  869623.59      283.53       22.94    14747.00      1
  867529.53      283.19       22.79    14748.00      1
  865406.52      283.45       23.40    14749.00      1
  863411.07      282.69       23.13    14750.00      1
  861323.41      283.21       23.52    14751.00      1
  859473.21      283.60       22.80    14752.00      1
  857325.48      283.33       23.08    14753.00      1
  855223.34      283.06       23.05    14754.00      1
  853313.81      284.05       23.56    14755.00      1
  851104.69      283.11       22.90    14756.00      1
  849214.02      283.81       23.82    14757.00      1
  847241.27      283.27       24.00    14758.00      1
  845212.65      283.53       22.80    14759.00      1
  843000.76      282.93       23.76    14760.00      1
  840825.59      283.15       23.75    14761.00      1
  838739.73      283.23       23.60    14762.00      1
  836714.59      283.72       23.54    14763.00      1
  834751.38      283.87       24.03    14764.00      1
  832555.72      283.13       24.19    14765.00      1
  830546.95      283.23       23.95    14766.00      1
  828448.27      283.54       24.22    14767.00      1
  826363.85      283.60       24.09    14768.00      1
  824369.88      283.41       24.10    14769.00      1
  822043.89      283.18       23.94    14770.00      1
  820083.82      283.66       24.70    14771.00      1
  817967.27      283.01       24.79    14772.00      1
  815901.61      283.41       24.33    14773.00      1
  813758.61      283.64       24.25    14774.00      1
  811648.52      282.99       24.34    14775.00      1
  809684.34      283.15       24.14    14776.00      1
  807517.99      282.31       24.53    14777.00      1
  805353.68      283.34       24.35    14778.00      1
  803024.65      283.10       24.47    14779.00      1
  801048.40      283.43       24.70    14780.00      1
  798894.51      283.66       24.85    14781.00      1
  796724.81      282.99       24.81    14782.00      1
  794635.80      283.17       25.40    14783.00      1
  792402.15      283.02       25.11    14784.00      1
  790355.99      283.38       24.97    14785.00      1
  788124.55      283.54       24.96    14786.00      1
  786054.60      283.57       24.76    14787.00      1
  783883.16      283.58       24.78    14788.00      1
  781560.69      283.25       24.77    14789.00      1
  779501.80      284.00       25.22    14790.00      1
  777430.95      283.09       24.78    14791.00      1
  775132.09      283.68       25.15    14792.00      1
  772974.57      283.45       25.27    14793.00      1
  770698.15      283.40       25.78    14794.00      1
  768553.83      283.78       25.09    14795.00      1
  766399.89      283.48       25.41    14796.00      1
  764083.58      282.92       26.14    14797.00      1
  762050.52      283.06       25.54    14798.00      1
  759814.35      283.28       25.88    14799.00      1
  757745.59      283.37       25.52    14800.00      1
  755492.37      283.46       25.30    14801.00      1
  753086.29      283.33       25.71    14802.00      1
  750967.39      283.49       25.82    14803.00      1
  748772.96      283.36       25.88    14804.00      1
  746462.36      283.35       26.35    14805.00      1
  744131.30      283.11       26.18    14806.00      1
  741940.61      283.11       25.91    14807.00      1
  739566.30      283.41       25.81    14808.00      1
  737579.65      283.96       26.19    14809.00      1
  735255.04      283.72       26.32    14810.00      1
  732932.82      283.41       26.31    14811.00      1
  730535.98      283.59       26.47    14812.00      1
  728356.25      283.62       25.98    14813.00      1
  726230.88      283.49       26.18    14814.00      1
  723887.30      283.40       26.22    14815.00      1
  721526.85      283.50       26.73    14816.00      1
  719301.55      283.60       26.28    14817.00      1
  717020.71      283.53       26.39    14818.00      1
  714655.75      283.79       26.36    14819.00      1
  712380.32      283.37       26.55    14820.00      1
  710063.10      283.10       26.47    14821.00      1
  707861.67      283.58       26.49    14822.00      1
  705510.77      283.38       26.35    14823.00      1
  703221.67      283.60       26.93    14824.00      1
  700846.04      283.50       26.77    14825.00      1
  698511.33      283.94       26.68    14826.00      1
  696241.12      283.57       26.76    14827.00      1
  693702.13      283.21       26.87    14828.00      1
  691537.64      283.59       26.55    14829.00      1
  689139.90      284.15       27.03    14830.00      1
  686815.45      283.00       26.82    14831.00      1
  684431.44      283.52       26.66    14832.00      1
  682103.09      283.71       26.89    14833.00      1
  679656.57      283.00       26.42    14834.00      1
  677306.96      283.55       26.79    14835.00      1
  675276.48      283.82       26.49    14836.00      1
  672905.86      283.68       27.08    14837.00      1
  670384.77      284.08       26.98    14838.00      1
  668101.64      283.69       27.33    14839.00      1
  665454.06      283.24       27.21    14840.00      1
  663250.71      283.89       27.23    14841.00      1
  660611.40      283.71       27.23    14842.00      1
  658340.50      283.99       27.39    14843.00      1
  655828.37      283.37       27.47    14844.00      1
  653523.29      283.78       27.44    14845.00      1
  651110.14      283.82       27.22    14846.00      1
  648955.58      283.84       27.08    14847.00      1
  646303.60      283.48       27.46    14848.00      1
  643923.22      283.42       27.81    14849.00      1
  641505.32      283.44       27.95    14850.00      1
  638910.79      283.55       27.16    14851.00      1
  636628.29      283.72       27.33    14852.00      1
  634170.14      283.67       27.11    14853.00      1
  631765.78      283.64       27.31    14854.00      1
  629346.82      283.61       27.12    14855.00      1
  626735.12      283.58       27.07    14856.00      1
  624455.22      284.01       27.49    14857.00      1
  621783.01      283.70       27.29    14858.00      1
  619497.86      283.82       27.60    14859.00      1
  617207.98      283.84       28.01    14860.00      1
  614442.04      283.36       28.42    14861.00      1
  612086.39      283.23       27.54    14862.00      1
  609551.25      283.55       28.11    14863.00      1
  606866.35      283.56       27.49    14864.00      1
  604340.65      283.55       27.51    14865.00      1
  602007.41      283.32       27.79    14866.00      1
  599693.18      283.21       28.18    14867.00      1
  596877.64      283.43       27.66    14868.00      1
  594547.34      283.72       27.80    14869.00      1
  591631.37      283.34       28.23    14870.00      1
  589622.37      283.76       27.83    14871.00      1
  586923.65      283.04       28.01    14872.00      1
  584272.63      283.47       28.15    14873.00      1
  581778.73      283.59       27.83    14874.00      1
  579355.06      284.11       27.58    14875.00      1
  576619.56      283.42       27.96    14876.00      1
  574251.78      283.64       27.74    14877.00      1
  571676.74      283.61       28.24    14878.00      1
  569030.41      283.80       27.53    14879.00      1
  566414.54      283.89       27.73    14880.00      1
  563692.68      283.70       27.86    14881.00      1
  561125.81      283.80       28.17    14882.00      1
  558704.27      284.38       27.86    14883.00      1
  555947.43      283.51       27.83    14884.00      1
  553486.09      283.90       28.32    14885.00      1
  550874.31      283.89       27.76    14886.00      1
  548190.13      283.64       28.05    14887.00      1
  545751.24      283.76       27.93    14888.00      1
  542825.17      284.04       28.22    14889.00      1
  540453.48      283.73       28.18    14890.00      1
  537671.26      283.79       28.19    14891.00      1
  535254.61      283.18       27.71    14892.00      1
  532399.83      283.76       27.62    14893.00      1
  529949.40      283.70       28.09    14894.00      1
  527353.03      283.37       27.79    14895.00      1
  524553.73      283.57       27.95    14896.00      1
  521825.57      283.97       27.99    14897.00      1
  519250.99      283.86       27.89    14898.00      1
  516608.43      283.61       28.56    14899.00      1
  514031.44      283.62       28.42    14900.00      1
  511289.00      283.91       28.14    14901.00      1
  508465.27      284.35       27.71    14902.00      1
  506016.25      283.15       27.91    14903.00      1
  503154.76      283.49       27.80    14904.00      1
  500435.97      283.62       28.03    14905.00      1
  497878.22      283.46       28.16    14906.00      1
  495159.42      283.76       27.43    14907.00      1
  492285.17      283.48       27.10    14908.00      1
  489682.04      283.08       27.89    14909.00      1
  486952.51      284.15       28.19    14910.00      1
  484275.92      284.08       27.58    14911.00      1
  481641.04      283.80       27.31    14912.00      1
  478736.03      283.23       28.12    14913.00      1
  476183.79      284.02       27.86    14914.00      1
  473407.05      284.30       27.87    14915.00      1
  470559.74      283.60       27.63    14916.00      1
  467751.56      283.79       27.81    14917.00      1
  465068.94      283.85       27.38    14918.00      1
  462490.17      283.77       28.44    14919.00      1
  459728.94      283.54       28.35    14920.00      1
  456925.94      283.51       27.35    14921.00      1
  454139.19      283.45       27.46    14922.00      1
  451340.22      284.29       27.86    14923.00      1
  448472.54      283.92       27.74    14924.00      1
  445787.43      284.26       27.28    14925.00      1
  442841.90      284.53       27.44    14926.00      1
  440234.74      284.19       27.20    14927.00      1
  437363.40      283.91       27.26    14928.00      1
  434509.87      283.83       27.64    14929.00      1
  431676.14      283.91       27.07    14930.00      1
  429043.05      284.26       27.28    14931.00      1
  426101.34      284.08       26.72    14932.00      1
  423363.05      284.12       27.22    14933.00      1
  420743.21      283.81       27.19    14934.00      1
  417869.59      284.26       27.11    14935.00      1
  414734.84      283.89       26.79    14936.00      1
  411987.46      284.00       26.60    14937.00      1
  409111.26      284.21       27.19    14938.00      1
  406282.58      284.04       26.51    14939.00      1
  403288.30      284.20       26.38    14940.00      1
  400507.60      284.03       26.45    14941.00      1
  397759.39      284.12       26.25    14942.00      1
  395091.64      284.05       26.19    14943.00      1
  392025.37      283.76       26.37    14944.00      1
  389280.71      284.25       26.89    14945.00      1
  386391.37      284.15       26.06    14946.00      1
  383486.93      283.54       26.38    14947.00      1
  380454.11      284.07       26.23    14948.00      1
  377438.98      284.80       25.91    14949.00      1
  374896.85      283.94       25.91    14950.00      1
  371848.50      284.21       26.40    14951.00      1
  368743.07      283.96       26.40    14952.00      1
  365859.15      284.72       25.85    14953.00      1
  363177.02      284.25       25.94    14954.00      1
  360464.20      283.77       25.57    14955.00      1
  357293.16      283.96       25.13    14956.00      1
  354442.04      284.40       25.66    14957.00      1
  351508.01      284.28       25.61    14958.00      1
  348506.11      283.84       25.07    14959.00      1
  345611.38      284.25       25.14    14960.00      1
  342633.20      284.31       25.73    14961.00      1
  339684.45      283.98       24.89    14962.00      1
  336731.59      284.36       25.04    14963.00      1
  333948.64      283.97       24.71    14964.00      1
  331061.52      284.35       24.94    14965.00      1
  327946.40      283.73       24.45    14966.00      1
  325103.80      284.15       24.69    14967.00      1
  322027.76      284.11       24.02    14968.00      1
  319207.34      284.49       24.46    14969.00      1
  316158.95      284.03       24.08    14970.00      1
  313182.51      284.26       24.16    14971.00      1
  310238.02      284.60       23.89    14972.00      1
  307123.89      283.97       23.30    14973.00      1
  304180.82      283.80       22.86    14974.00      1
  301420.25      283.97       23.29    14975.00      1
  298268.78      284.21       23.31    14976.00      1
  295189.92      284.44       22.99    14977.00      1
  292537.46      283.85       22.65    14978.00      1
  289570.44      283.86       22.09    14979.00      1
  286314.44      284.60       22.38    14980.00      1
  283475.94      284.19       21.66    14981.00      1
  280612.76      284.76       21.84    14982.00      1
  277626.98      283.90       21.57    14983.00      1
  274635.32      284.21       21.94    14984.00      1
  271603.32      284.41       21.17    14985.00      1
  268760.76      284.69       21.11    14986.00      1
  265722.10      284.35       20.51    14987.00      1
  262756.19      284.30       20.14    14988.00      1
  259655.37      284.13       20.94    14989.00      1
  256804.73      285.02       20.12    14990.00      1
  254022.40      284.46       20.03    14991.00      1
  250958.24      284.57       19.38    14992.00      1
  248108.57      284.57       18.72    14993.00      1
  247226.45      284.26       18.79    14993.23      1
