    距离（m）       方位(度)        俯仰（度）         时间（s）   传感器标号 
  5.5769525e+004  3.1676044e+001 -2.2820915e-001  3.6677400e+004         1
  5.5507604e+004  3.2123844e+001  7.2584971e-001  3.6679400e+004         1
  5.5385465e+004  3.1941532e+001  4.5400915e-001  3.6680400e+004         1
  5.5257046e+004  3.2343699e+001  4.1697737e-001  3.6682400e+004         1
  5.5097623e+004  3.2231277e+001 -7.6124448e-002  3.6683400e+004         1
  5.4964826e+004  3.2274033e+001  6.4506077e-001  3.6684400e+004         1
  5.4885721e+004  3.2497680e+001 -2.2602684e-001  3.6685400e+004         1
  5.4915599e+004  3.2787655e+001  3.7851746e-001  3.6686400e+004         1
  5.4636731e+004  3.3201642e+001  8.7596808e-001  3.6687400e+004         1
  5.4538694e+004  3.2625427e+001  2.6903407e-001  3.6688400e+004         1
  5.4448035e+004  3.2135272e+001  1.2026577e-001  3.6689400e+004         1
  5.4286157e+004  3.2838746e+001  4.2755294e-001  3.6690400e+004         1
  5.4279595e+004  3.2845284e+001 -1.2756083e-001  3.6691400e+004         1
  5.4138900e+004  3.2744027e+001  9.0806028e-001  3.6692400e+004         1
  5.4119443e+004  3.2943154e+001  9.1704206e-001  3.6693400e+004         1
  5.3918541e+004  3.2213192e+001  5.0037526e-001  3.6694400e+004         1
  5.3831608e+004  3.2641909e+001  3.0445593e-001  3.6695400e+004         1
  5.3716238e+004  3.2837965e+001  4.3461918e-001  3.6696400e+004         1
  5.3665938e+004  3.3005878e+001  1.1300946e+000  3.6697400e+004         1
  5.3620063e+004  3.2724905e+001  6.0281529e-001  3.6698400e+004         1
  5.3454621e+004  3.3304631e+001 -4.9414011e-001  3.6699400e+004         1
  5.3247651e+004  3.3281593e+001  9.5703032e-001  3.6700400e+004         1
  5.3255618e+004  3.3393383e+001 -6.1976523e-002  3.6701400e+004         1
  5.3072840e+004  3.3836043e+001  3.3608833e-001  3.6702400e+004         1
  5.2984670e+004  3.3519371e+001  3.1538678e-001  3.6703400e+004         1
  5.2852353e+004  3.3582254e+001  3.1091981e-001  3.6704400e+004         1
  5.2765775e+004  3.3490370e+001 -7.1424980e-002  3.6705400e+004         1
  5.2660891e+004  3.4167147e+001 -1.1286435e-001  3.6706400e+004         1
  5.2512974e+004  3.3206891e+001  7.5088410e-002  3.6707400e+004         1
  5.2532539e+004  3.3669071e+001  1.5705169e-001  3.6708400e+004         1
  5.2422180e+004  3.3649383e+001  5.2930803e-001  3.6709400e+004         1
  5.2215436e+004  3.3443285e+001  4.9102959e-002  3.6711400e+004         1
  5.2060636e+004  3.3705985e+001  5.2422987e-001  3.6712400e+004         1
  5.1965638e+004  3.3942912e+001  1.8675643e-001  3.6713400e+004         1
  5.1898779e+004  3.3620292e+001  3.8859186e-001  3.6714400e+004         1
  5.1785027e+004  3.4617272e+001  3.2170422e-002  3.6715400e+004         1
  5.1599499e+004  3.4351641e+001  6.2011136e-001  3.6716400e+004         1
  5.1641975e+004  3.4127207e+001  3.8779743e-001  3.6717400e+004         1
  5.1533040e+004  3.4164984e+001  1.3849910e+000  3.6718400e+004         1
  5.1336640e+004  3.3743028e+001 -1.6824990e-001  3.6719400e+004         1
  5.1343938e+004  3.4191090e+001  4.8515224e-001  3.6720400e+004         1
  5.1317861e+004  3.5073425e+001  7.5824278e-001  3.6721400e+004         1
  5.1096980e+004  3.4810360e+001 -4.6392528e-001  3.6722400e+004         1
  5.1153755e+004  3.5431471e+001  2.4499323e-001  3.6723400e+004         1
  5.1107874e+004  3.4732877e+001  3.0413281e-001  3.6724400e+004         1
  5.0984534e+004  3.4857619e+001 -2.5695661e-001  3.6725400e+004         1
  5.1067056e+004  3.4661841e+001  2.2831031e-001  3.6726400e+004         1
  5.0945928e+004  3.5341243e+001  1.5042814e-001  3.6727400e+004         1
  5.0959555e+004  3.4946062e+001 -5.3884991e-002  3.6728400e+004         1
  5.0888279e+004  3.4959015e+001  1.3249247e-001  3.6729400e+004         1
  5.0867226e+004  3.5695480e+001  8.6800792e-002  3.6730400e+004         1
  5.0842991e+004  3.5412651e+001  6.9086778e-001  3.6731400e+004         1
  5.0841110e+004  3.6247163e+001  6.8596334e-001  3.6732400e+004         1
  5.0896357e+004  3.5405111e+001  5.9121572e-001  3.6733400e+004         1
  5.0790850e+004  3.6063953e+001  8.9516050e-001  3.6734400e+004         1
  5.0971829e+004  3.5818120e+001 -1.8046706e-001  3.6735400e+004         1
  5.0888394e+004  3.6145767e+001  4.4342577e-001  3.6736400e+004         1
  5.0904319e+004  3.6023162e+001 -3.3638850e-001  3.6737400e+004         1
  5.0927718e+004  3.6278802e+001  3.1695628e-001  3.6738400e+004         1
  5.1010928e+004  3.5899865e+001  6.0576070e-002  3.6739400e+004         1
  5.1066795e+004  3.6438668e+001  6.8656152e-001  3.6740400e+004         1
  5.1144831e+004  3.6653693e+001  8.0805009e-001  3.6741400e+004         1
  5.1230087e+004  3.6669245e+001  9.1226866e-001  3.6742400e+004         1
  5.1245662e+004  3.7254966e+001  1.5084851e-001  3.6743400e+004         1
  5.1368492e+004  3.6726317e+001  9.2403215e-001  3.6744400e+004         1
  5.1417371e+004  3.6443036e+001  5.9596265e-001  3.6745400e+004         1
  5.1500929e+004  3.7159937e+001  4.6208174e-001  3.6746400e+004         1
  5.1682057e+004  3.7282867e+001  4.9116260e-001  3.6747400e+004         1
  5.1711226e+004  3.6883220e+001  8.8754449e-001  3.6749400e+004         1
  5.1910893e+004  3.6705925e+001  4.2948324e-001  3.6750400e+004         1
  5.1922510e+004  3.7299056e+001  3.3678104e-001  3.6751400e+004         1
  5.2101210e+004  3.6445457e+001 -4.3643990e-001  3.6752400e+004         1
  5.2169303e+004  3.6770718e+001 -2.7064755e-001  3.6753400e+004         1
  5.2257719e+004  3.7311495e+001  7.3918528e-001  3.6754400e+004         1
  5.2463019e+004  3.7135209e+001 -1.6407456e-001  3.6755400e+004         1
  5.2629232e+004  3.7992113e+001  2.6137311e-001  3.6756400e+004         1
  5.2713765e+004  3.7448873e+001  3.4680534e-001  3.6757400e+004         1
  5.2931816e+004  3.6347158e+001  2.3764011e-001  3.6758400e+004         1
  5.2924344e+004  3.7401884e+001  5.0084425e-001  3.6759400e+004         1
  5.3120473e+004  3.7498798e+001  7.0851870e-001  3.6760400e+004         1
  5.3259077e+004  3.7481140e+001  1.4564710e+000  3.6761400e+004         1
  5.3388573e+004  3.7197521e+001 -5.9609040e-002  3.6762400e+004         1
  5.3415814e+004  3.6903362e+001  6.8140258e-001  3.6763400e+004         1
  5.3532019e+004  3.6914845e+001  3.9832747e-001  3.6764400e+004         1
  5.3652682e+004  3.7153747e+001  4.9730263e-001  3.6765400e+004         1
  5.3813714e+004  3.6920621e+001  1.6432382e-004  3.6766400e+004         1
  5.3964260e+004  3.6822003e+001  6.7181065e-001  3.6767400e+004         1
  5.4168659e+004  3.6918379e+001  8.8973583e-001  3.6768400e+004         1
  5.4310293e+004  3.6701644e+001  7.4838769e-001  3.6770400e+004         1
  5.4389021e+004  3.6102639e+001  3.4940583e-002  3.6771400e+004         1
  5.4570865e+004  3.6500786e+001  3.2812568e-001  3.6772400e+004         1
  5.4729264e+004  3.6791050e+001  4.3912743e-001  3.6773400e+004         1
  5.4954458e+004  3.6656147e+001  6.1168189e-001  3.6775400e+004         1
  5.5071023e+004  3.6262055e+001  1.1094423e-001  3.6776400e+004         1
  5.5227070e+004  3.6081349e+001  3.9726705e-001  3.6777400e+004         1
  5.5280404e+004  3.5079185e+001  2.7755325e-002  3.6778400e+004         1
  5.5364268e+004  3.6239497e+001  3.2852072e-001  3.6779400e+004         1
  5.5640991e+004  3.5605665e+001  2.6090788e-001  3.6781400e+004         1
  5.5773818e+004  3.6530616e+001  6.1041586e-001  3.6782400e+004         1
  5.5809154e+004  3.6730336e+001  1.2659860e+000  3.6783400e+004         1
  5.5959013e+004  3.6583303e+001  2.0628280e-001  3.6784400e+004         1
  5.6170031e+004  3.5508725e+001 -3.4194323e-001  3.6785400e+004         1
  5.6262326e+004  3.6060256e+001  6.3672574e-001  3.6786400e+004         1
  5.6406763e+004  3.5755067e+001  7.5968946e-001  3.6787400e+004         1
  5.6448313e+004  3.5466380e+001  6.9247991e-001  3.6788400e+004         1
  5.6590654e+004  3.5588600e+001 -1.8837956e-001  3.6789400e+004         1
  5.6699349e+004  3.6348273e+001  7.5056933e-001  3.6790400e+004         1
  5.6778565e+004  3.5457719e+001 -8.0646661e-002  3.6791400e+004         1
  5.7068543e+004  3.6087422e+001  1.1331584e-001  3.6792400e+004         1
  5.6985322e+004  3.5191277e+001  7.0421748e-001  3.6793400e+004         1
  5.7169762e+004  3.6288798e+001  5.7196711e-001  3.6794400e+004         1
  5.7185439e+004  3.5956176e+001  1.2608254e+000  3.6795400e+004         1
  5.7299973e+004  3.5575814e+001  1.9959784e-001  3.6796400e+004         1
  5.7508369e+004  3.5785011e+001  2.4880847e-001  3.6797400e+004         1
  5.7568449e+004  3.5930209e+001 -3.5159970e-001  3.6798400e+004         1
  5.7720957e+004  3.5293818e+001  5.7626429e-001  3.6799400e+004         1
  5.7769327e+004  3.5585607e+001  2.7436007e-001  3.6800400e+004         1
  5.7888788e+004  3.5511832e+001 -3.6034576e-001  3.6801400e+004         1
  5.8004663e+004  3.5088917e+001  6.3573934e-001  3.6802400e+004         1
  5.8165771e+004  3.5810787e+001  3.0842359e-001  3.6803400e+004         1
  5.8277015e+004  3.5355124e+001  5.8423290e-001  3.6804400e+004         1
  5.8406289e+004  3.4959080e+001 -3.6674858e-001  3.6805400e+004         1
  5.8452798e+004  3.5502169e+001  2.1621121e-001  3.6806400e+004         1
  5.8406879e+004  3.5541084e+001  2.4342390e-001  3.6807400e+004         1
  5.8684839e+004  3.4691187e+001  6.3329041e-002  3.6808400e+004         1
  5.8797870e+004  3.4715100e+001 -5.2885511e-001  3.6809400e+004         1
  5.8881413e+004  3.5573556e+001  3.8786375e-001  3.6810400e+004         1
  5.8988023e+004  3.4696753e+001 -3.5560484e-002  3.6811400e+004         1
  5.9012489e+004  3.5026464e+001 -1.2633885e-002  3.6812400e+004         1
  5.9151378e+004  3.4940390e+001  1.4449256e-001  3.6813400e+004         1
  5.9304943e+004  3.5097653e+001 -2.4199932e-001  3.6814400e+004         1
  5.9275619e+004  3.6085952e+001  7.3271539e-001  3.6815400e+004         1
  5.9424234e+004  3.4555344e+001  5.6178246e-001  3.6816400e+004         1
  5.9647838e+004  3.4921340e+001 -4.5569687e-001  3.6818400e+004         1
  5.9747851e+004  3.5691049e+001  1.8417907e-001  3.6819400e+004         1
  5.9809425e+004  3.4647645e+001 -1.2764109e-001  3.6820400e+004         1
  6.0029293e+004  3.4631877e+001  5.1326963e-001  3.6821400e+004         1
  6.0066583e+004  3.5319843e+001  3.8596460e-001  3.6822400e+004         1
  6.0115466e+004  3.4745780e+001  2.6108877e-001  3.6823400e+004         1
  6.0263664e+004  3.5292777e+001  2.3773984e-001  3.6824400e+004         1
  6.0240227e+004  3.4448559e+001 -2.1797792e-001  3.6825400e+004         1
  6.0471701e+004  3.5339843e+001  1.0598224e+000  3.6826400e+004         1
  6.0524190e+004  3.5029789e+001  5.3628345e-001  3.6827400e+004         1
  6.0673736e+004  3.4083049e+001  5.5497321e-001  3.6828400e+004         1
  6.0691460e+004  3.4370179e+001  8.4974564e-001  3.6829400e+004         1
  6.0762411e+004  3.4705792e+001  1.1398534e+000  3.6830400e+004         1
  6.0934661e+004  3.4216830e+001  1.0038292e+000  3.6831400e+004         1
  6.1041011e+004  3.4183617e+001  6.7398532e-001  3.6832400e+004         1
  6.1052208e+004  3.4552796e+001  1.5043551e-001  3.6833400e+004         1
  6.1193212e+004  3.4433551e+001 -8.3842266e-002  3.6834400e+004         1
  6.1340007e+004  3.5180179e+001 -1.3604140e-001  3.6835400e+004         1
  6.1502601e+004  3.4308086e+001  4.6435416e-002  3.6837400e+004         1
  6.1555939e+004  3.4217321e+001  6.7867842e-001  3.6838400e+004         1
  6.1732170e+004  3.4577882e+001  1.6458724e-001  3.6839400e+004         1
  6.1824042e+004  3.4081975e+001  7.9925283e-001  3.6840400e+004         1
  6.1895722e+004  3.4326789e+001  4.7052305e-001  3.6841400e+004         1
  6.1998324e+004  3.5043295e+001  5.6796849e-001  3.6843400e+004         1
  6.2304721e+004  3.4474393e+001  4.4153127e-001  3.6844400e+004         1
  6.2218448e+004  3.3523869e+001  1.5462131e-001  3.6845400e+004         1
  6.2402013e+004  3.4081797e+001  1.0316873e+000  3.6846400e+004         1
  6.2475865e+004  3.4073759e+001  7.8551071e-001  3.6847400e+004         1
  6.2599526e+004  3.3897700e+001  1.6496959e-001  3.6848400e+004         1
  6.2692910e+004  3.3832961e+001 -9.9733250e-002  3.6849400e+004         1
  6.2741504e+004  3.4267868e+001  1.8542347e-001  3.6850400e+004         1
  6.2733377e+004  3.4288833e+001  1.0680158e+000  3.6851400e+004         1
  6.3006424e+004  3.3986111e+001  3.9950613e-001  3.6852400e+004         1
  6.3065303e+004  3.3729539e+001  1.8691928e-001  3.6853400e+004         1
  6.3136342e+004  3.4376421e+001  1.3440623e+000  3.6854400e+004         1
  6.3266962e+004  3.3444861e+001  8.5074500e-001  3.6855400e+004         1
  6.3559159e+004  3.3548407e+001  4.2270758e-001  3.6857400e+004         1
  6.3570965e+004  3.4881146e+001  1.4338070e+000  3.6858400e+004         1
  6.3570553e+004  3.3797746e+001 -5.7113077e-003  3.6859400e+004         1
  6.3712467e+004  3.3956142e+001  1.1769716e+000  3.6860400e+004         1
  6.3858331e+004  3.4372875e+001  8.2025297e-001  3.6861400e+004         1
  6.4027695e+004  3.4236284e+001  1.8311300e-001  3.6862400e+004         1
  6.4066000e+004  3.3509917e+001  5.8957127e-001  3.6863400e+004         1
  6.4176283e+004  3.3967286e+001  7.3015066e-001  3.6864400e+004         1
  6.4299346e+004  3.3939238e+001  3.5510465e-001  3.6865400e+004         1
  6.4431861e+004  3.4362551e+001  1.1955440e-001  3.6866400e+004         1
  6.4484888e+004  3.3667234e+001 -2.7761555e-002  3.6867400e+004         1
  6.4544572e+004  3.3865334e+001  9.6829764e-001  3.6868400e+004         1
  6.4730123e+004  3.4212761e+001 -6.7208480e-001  3.6869400e+004         1
  6.4796332e+004  3.3908591e+001 -1.9584544e-001  3.6870400e+004         1
  6.4905132e+004  3.3514567e+001  5.4588219e-001  3.6871400e+004         1
  6.4866158e+004  3.3799511e+001  8.0063919e-001  3.6872400e+004         1
  6.5030099e+004  3.2757685e+001  3.0433251e-001  3.6874400e+004         1
  5.6774487e+004  1.7360965e+002 -1.1712005e-001  3.6919400e+004         2
  5.6861941e+004  1.7389447e+002  2.1262308e-002  3.6920400e+004         2
  5.6846594e+004  1.7422286e+002  6.4455499e-001  3.6921400e+004         2
  5.6938998e+004  1.7413104e+002  3.0002694e-001  3.6922400e+004         2
  5.7233682e+004  1.7480905e+002  6.5434725e-002  3.6924400e+004         2
  5.7408335e+004  1.7491665e+002  5.9202802e-001  3.6925400e+004         2
  5.7447025e+004  1.7473106e+002  1.1859445e-001  3.6926400e+004         2
  5.7602518e+004  1.7488349e+002  2.3431708e-001  3.6927400e+004         2
  5.7744755e+004  1.7430283e+002  4.0457438e-001  3.6928400e+004         2
  5.7944101e+004  1.7477033e+002  2.6785927e-001  3.6930400e+004         2
  5.8072339e+004  1.7465929e+002  4.8521215e-001  3.6931400e+004         2
  5.8374114e+004  1.7486398e+002  8.3507529e-001  3.6933400e+004         2
  5.8422367e+004  1.7483119e+002  8.7352114e-002  3.6934400e+004         2
  5.8585241e+004  1.7497749e+002  4.2238540e-001  3.6935400e+004         2
  5.8645295e+004  1.7467906e+002  3.0098900e-001  3.6936400e+004         2
  5.8812413e+004  1.7557343e+002  1.8522588e-001  3.6937400e+004         2
  5.8876406e+004  1.7530137e+002  3.6796932e-002  3.6938400e+004         2
  5.9011345e+004  1.7508870e+002  3.2936827e-001  3.6939400e+004         2
  5.9272052e+004  1.7478157e+002  3.1058166e-001  3.6940400e+004         2
  5.9411326e+004  1.7471827e+002  6.3127556e-001  3.6942400e+004         2
  5.9532432e+004  1.7499260e+002  3.9415456e-001  3.6943400e+004         2
  5.9532265e+004  1.7462084e+002  4.4380997e-001  3.6944400e+004         2
  5.9728151e+004  1.7469576e+002  4.6387515e-002  3.6945400e+004         2
  5.9827516e+004  1.7491837e+002  1.9007603e-001  3.6946400e+004         2
  6.0026571e+004  1.7491477e+002  8.6077040e-001  3.6947400e+004         2
  6.0031008e+004  1.7505813e+002  5.9440996e-001  3.6948400e+004         2
  6.0211530e+004  1.7536176e+002  5.0259136e-001  3.6949400e+004         2
  6.0297799e+004  1.7475757e+002  1.7678251e-001  3.6950400e+004         2
  6.0465588e+004  1.7602344e+002  3.5963580e-001  3.6951400e+004         2
  6.0620289e+004  1.7575077e+002  1.3222688e-001  3.6952400e+004         2
  6.0700270e+004  1.7550635e+002  5.1376897e-001  3.6953400e+004         2
  6.0784515e+004  1.7543697e+002  6.5519942e-002  3.6954400e+004         2
  6.0903758e+004  1.7563053e+002  4.2934686e-002  3.6955400e+004         2
  6.1017409e+004  1.7535670e+002  6.5516384e-001  3.6956400e+004         2
  6.1159892e+004  1.7500066e+002  4.5152073e-003  3.6957400e+004         2
  6.1240828e+004  1.7581663e+002  6.9554247e-001  3.6958400e+004         2
  6.1405132e+004  1.7583767e+002  3.8804091e-001  3.6959400e+004         2
  6.1526699e+004  1.7546709e+002  5.5321325e-001  3.6960400e+004         2
  6.1580031e+004  1.7548869e+002  2.9957074e-001  3.6961400e+004         2
  6.1777911e+004  1.7542047e+002  1.1066125e+000  3.6962400e+004         2
  6.1837899e+004  1.7579689e+002  1.1052378e+000  3.6963400e+004         2
  6.1889510e+004  1.7552631e+002 -1.1042866e-001  3.6964400e+004         2
  6.2034958e+004  1.7569061e+002  7.1615744e-001  3.6965400e+004         2
  6.2160985e+004  1.7510135e+002  4.8290249e-001  3.6966400e+004         2
  6.2293129e+004  1.7500227e+002  1.3338757e-001  3.6968400e+004         2
  6.2456505e+004  1.7567100e+002  2.9962778e-001  3.6969400e+004         2
  6.2462612e+004  1.7545380e+002  2.6119587e-001  3.6970400e+004         2
  6.2655937e+004  1.7514651e+002  4.9926761e-001  3.6971400e+004         2
  6.2662298e+004  1.7498969e+002 -4.2851283e-002  3.6972400e+004         2
  6.2700704e+004  1.7491913e+002 -1.6769945e-002  3.6973400e+004         2
  6.2855628e+004  1.7459400e+002  2.8335528e-001  3.6974400e+004         2
  6.2894931e+004  1.7476357e+002  4.0582619e-001  3.6975400e+004         2
  6.2895180e+004  1.7471054e+002  7.9238504e-001  3.6976400e+004         2
  6.2908710e+004  1.7457388e+002  2.6073610e-001  3.6977400e+004         2
  6.2995530e+004  1.7409549e+002  1.9269810e-001  3.6978400e+004         2
  6.3031718e+004  1.7430815e+002  3.4138977e-001  3.6979400e+004         2
  6.3076634e+004  1.7419458e+002  4.2663401e-001  3.6980400e+004         2
  6.3126758e+004  1.7418140e+002  2.1522049e-001  3.6982400e+004         2
  6.3062957e+004  1.7339450e+002  2.1745700e-001  3.6983400e+004         2
  6.3140249e+004  1.7382637e+002  9.0955858e-002  3.6984400e+004         2
  6.3199386e+004  1.7395362e+002  1.0199734e+000  3.6985400e+004         2
  6.3177104e+004  1.7345080e+002  2.3099118e-001  3.6986400e+004         2
  6.3098122e+004  1.7344959e+002  5.1505663e-001  3.6987400e+004         2
  6.3175415e+004  1.7372798e+002  6.1417619e-001  3.6988400e+004         2
  6.3088649e+004  1.7350988e+002  4.1221898e-001  3.6990400e+004         2
  6.3096890e+004  1.7348431e+002  3.4185972e-001  3.6991400e+004         2
  6.3033955e+004  1.7299019e+002  5.6667353e-001  3.6992400e+004         2
  6.3018408e+004  1.7300581e+002  1.9074589e-001  3.6993400e+004         2
  6.2954178e+004  1.7245300e+002  3.5475630e-001  3.6994400e+004         2
  6.2883856e+004  1.7325752e+002  4.7075236e-001  3.6995400e+004         2
  6.2818729e+004  1.7261934e+002  3.7630952e-001  3.6996400e+004         2
  6.2743693e+004  1.7275873e+002  8.3193242e-001  3.6997400e+004         2
  6.2712926e+004  1.7229962e+002  1.4645321e-001  3.6998400e+004         2
  6.2594714e+004  1.7198357e+002 -1.4622490e-001  3.6999400e+004         2
  6.2481801e+004  1.7302639e+002 -3.5728263e-001  3.7000400e+004         2
  6.2420278e+004  1.7211318e+002  4.3162796e-001  3.7001400e+004         2
  6.2357797e+004  1.7230311e+002 -1.8069413e-001  3.7002400e+004         2
  6.2210571e+004  1.7257609e+002  3.6614907e-001  3.7003400e+004         2
  6.2143788e+004  1.7177020e+002  7.3994222e-001  3.7004400e+004         2
  6.2008471e+004  1.7204183e+002  3.5749800e-001  3.7005400e+004         2
  6.1955402e+004  1.7228437e+002  9.1562713e-001  3.7006400e+004         2
  6.1624252e+004  1.7156096e+002  3.1777518e-001  3.7008400e+004         2
  6.1584646e+004  1.7179006e+002  5.5148090e-001  3.7009400e+004         2
  6.1391847e+004  1.7230811e+002  3.9313190e-001  3.7010400e+004         2
  6.1377420e+004  1.7226679e+002  2.8061915e-001  3.7011400e+004         2
  6.1185460e+004  1.7215198e+002  4.4996681e-001  3.7012400e+004         2
  6.1030378e+004  1.7223176e+002  8.7939863e-001  3.7013400e+004         2
  6.0903133e+004  1.7208341e+002  1.6831460e-001  3.7014400e+004         2
  6.0845651e+004  1.7215514e+002  1.3452670e-001  3.7015400e+004         2
  6.0659079e+004  1.7198369e+002 -1.1137402e-001  3.7016400e+004         2
  6.0557095e+004  1.7208461e+002  2.2216732e-001  3.7017400e+004         2
  6.0491783e+004  1.7246111e+002  2.3817129e-002  3.7018400e+004         2
  6.0325170e+004  1.7231033e+002 -1.3235358e-001  3.7019400e+004         2
  6.0236099e+004  1.7233060e+002  9.1230391e-002  3.7020400e+004         2
  6.0111756e+004  1.7275381e+002  9.1405734e-001  3.7021400e+004         2
  6.0019740e+004  1.7262379e+002  3.3936289e-001  3.7023400e+004         2
  5.9867797e+004  1.7284952e+002 -4.9212821e-002  3.7024400e+004         2
  5.9969307e+004  1.7289159e+002  4.4135814e-001  3.7025400e+004         2
  5.9743791e+004  1.7319049e+002  4.7202456e-001  3.7026400e+004         2
  5.9762066e+004  1.7301684e+002  5.3864472e-001  3.7027400e+004         2
  5.9676402e+004  1.7350472e+002  8.2785011e-001  3.7028400e+004         2
  5.9646188e+004  1.7352331e+002  6.4392335e-001  3.7029400e+004         2
  5.9568605e+004  1.7381995e+002  3.0066725e-001  3.7031400e+004         2
  5.9538178e+004  1.7424934e+002  1.7857668e-001  3.7033400e+004         2
  5.9468127e+004  1.7389473e+002  2.6804218e-001  3.7034400e+004         2
  5.9445176e+004  1.7411908e+002  1.4761608e-001  3.7035400e+004         2
  5.9424063e+004  1.7412554e+002  1.3995676e+000  3.7036400e+004         2
  5.9450304e+004  1.7405861e+002  1.5251538e-001  3.7038400e+004         2
  5.9424669e+004  1.7470266e+002  3.6048971e-001  3.7039400e+004         2
  5.9352860e+004  1.7467484e+002  6.7004401e-001  3.7040400e+004         2
  5.9385551e+004  1.7498561e+002  5.0375531e-001  3.7041400e+004         2
  5.9369729e+004  1.7477533e+002 -2.8124281e-001  3.7042400e+004         2
  5.9349218e+004  1.7526509e+002  2.6057000e-001  3.7043400e+004         2
  5.9321738e+004  1.7448422e+002  3.5806896e-001  3.7044400e+004         2
  5.9402826e+004  1.7576538e+002  2.1921615e-001  3.7045400e+004         2
  5.9373614e+004  1.7571565e+002  6.1746282e-001  3.7046400e+004         2
  5.9358169e+004  1.7554849e+002  4.8862175e-001  3.7047400e+004         2
  5.9392036e+004  1.7578534e+002  2.3838257e-001  3.7048400e+004         2
