自行车序号: 1,出发区域: 8
出发时间：787.70,到达时间：797.05,到达区域: 6
出发时间：868.79,到达时间：874.63,到达区域: 7
出发时间：957.98,到达时间：964.56,到达区域: 6
出发时间：1060.24,到达时间：1065.37,到达区域: 9
出发时间：1096.21,到达时间：1110.60,到达区域: 7
出发时间：1197.61,到达时间：1208.92,到达区域: 4
出发时间：1216.35,到达时间：1229.23,到达区域: 7
出发时间：1258.64,到达时间：1273.39,到达区域: 9
出发时间：1336.71,到达时间：1350.53,到达区域: 3
出发时间：1371.89,到达时间：1380.95,到达区域: 5
自行车序号:13,出发区域: 5
出发时间：470.62,到达时间：481.04,到达区域: 6
出发时间：576.47,到达时间：582.39,到达区域: 3
出发时间：661.95,到达时间：665.84,到达区域: 8
出发时间：742.55,到达时间：746.76,到达区域: 6
出发时间：784.26,到达时间：797.63,到达区域: 2
出发时间：816.23,到达时间：826.34,到达区域: 7
出发时间：924.73,到达时间：935.63,到达区域: 2
出发时间：996.20,到达时间：1007.33,到达区域: 1
出发时间：1091.79,到达时间：1104.03,到达区域: 8
出发时间：1160.24,到达时间：1163.90,到达区域:10
自行车序号:14,出发区域: 8
出发时间：459.08,到达时间：463.72,到达区域: 4
出发时间：518.61,到达时间：522.67,到达区域: 5
出发时间：553.71,到达时间：567.80,到达区域: 9
出发时间：665.13,到达时间：669.72,到达区域:10
出发时间：719.54,到达时间：732.45,到达区域: 7
出发时间：760.65,到达时间：765.03,到达区域: 8
出发时间：822.08,到达时间：834.31,到达区域: 1
出发时间：920.27,到达时间：931.03,到达区域: 8
出发时间：1012.70,到达时间：1016.55,到达区域:10
出发时间：1055.47,到达时间：1066.25,到达区域: 4
出发时间：1115.88,到达时间：1119.74,到达区域: 8
出发时间：1204.08,到达时间：1212.37,到达区域: 2
出发时间：1229.34,到达时间：1236.25,到达区域: 4
自行车序号:15,出发区域: 8
出发时间：446.64,到达时间：451.02,到达区域: 4
出发时间：534.94,到达时间：548.99,到达区域: 3
出发时间：576.11,到达时间：590.89,到达区域: 9
出发时间：674.77,到达时间：681.89,到达区域: 4
出发时间：781.15,到达时间：785.18,到达区域: 8
出发时间：880.16,到达时间：884.33,到达区域: 4
出发时间：936.48,到达时间：947.63,到达区域: 7
出发时间：1029.43,到达时间：1034.10,到达区域: 8
出发时间：1114.18,到达时间：1127.65,到达区域: 9
出发时间：1212.65,到达时间：1217.52,到达区域:10
自行车序号:16,出发区域: 2
出发时间：451.56,到达时间：465.91,到达区域: 5
出发时间：544.34,到达时间：553.46,到达区域: 3
出发时间：642.35,到达时间：657.42,到达区域: 9
出发时间：732.49,到达时间：746.08,到达区域: 3
出发时间：757.58,到达时间：772.26,到达区域: 7
出发时间：819.73,到达时间：831.57,到达区域: 5
出发时间：868.03,到达时间：882.05,到达区域: 9
出发时间：963.87,到达时间：970.90,到达区域: 4
出发时间：1036.09,到达时间：1043.06,到达区域: 9
出发时间：1139.07,到达时间：1143.64,到达区域:10
出发时间：1185.80,到达时间：1189.98,到达区域: 9
出发时间：1267.71,到达时间：1281.04,到达区域: 7
出发时间：1337.79,到达时间：1343.57,到达区域: 6
自行车序号:17,出发区域: 2
出发时间：408.27,到达时间：419.25,到达区域:10
出发时间：467.44,到达时间：472.09,到达区域: 9
出发时间：541.08,到达时间：545.55,到达区域:10
出发时间：588.77,到达时间：601.85,到达区域: 7
出发时间：670.96,到达时间：683.36,到达区域: 5
出发时间：760.45,到达时间：767.73,到达区域: 1
出发时间：779.73,到达时间：788.47,到达区域: 5
自行车序号:18,出发区域: 3
出发时间：412.32,到达时间：416.14,到达区域: 8
出发时间：437.28,到达时间：450.37,到达区域: 9
出发时间：463.48,到达时间：466.98,到达区域: 2
出发时间：561.48,到达时间：573.66,到达区域: 6
出发时间：657.99,到达时间：664.57,到达区域: 4
出发时间：736.24,到达时间：746.96,到达区域:10
出发时间：823.17,到达时间：833.17,到达区域: 2
出发时间：921.55,到达时间：926.44,到达区域: 3
出发时间：932.43,到达时间：937.06,到达区域: 2
出发时间：993.67,到达时间：1000.06,到达区域: 4
自行车序号:19,出发区域: 4
出发时间：437.72,到达时间：442.30,到达区域: 8
出发时间：448.30,到达时间：452.52,到达区域: 7
出发时间：539.53,到达时间：543.98,到达区域: 8
出发时间：602.93,到达时间：606.74,到达区域:10
出发时间：651.53,到达时间：666.46,到达区域: 5
出发时间：720.50,到达时间：733.88,到达区域:10
出发时间：751.02,到达时间：754.63,到达区域: 8
出发时间：843.19,到达时间：856.60,到达区域: 9
出发时间：921.92,到达时间：928.90,到达区域: 4
出发时间：938.86,到达时间：950.32,到达区域: 1
出发时间：971.75,到达时间：982.70,到达区域: 7
自行车序号:20,出发区域: 6
出发时间：428.32,到达时间：438.82,到达区域: 5
出发时间：473.86,到达时间：482.40,到达区域: 3
出发时间：488.14,到达时间：492.32,到达区域: 8
出发时间：532.93,到达时间：544.55,到达区域: 9
出发时间：566.61,到达时间：581.99,到达区域: 5
出发时间：647.08,到达时间：658.73,到达区域: 7
出发时间：740.83,到达时间：745.40,到达区域: 8
出发时间：776.12,到达时间：787.58,到达区域: 5
出发时间：813.15,到达时间：825.60,到达区域: 7
出发时间：838.55,到达时间：850.13,到达区域: 1
出发时间：902.66,到达时间：914.07,到达区域: 8
出发时间：921.02,到达时间：934.03,到达区域: 9
出发时间：1010.98,到达时间：1014.29,到达区域: 2
出发时间：1059.27,到达时间：1072.87,到达区域: 5
出发时间：1146.09,到达时间：1160.47,到达区域:10
自行车序号:21,出发区域:10
出发时间：421.20,到达时间：434.45,到达区域: 7
出发时间：446.02,到达时间：450.58,到达区域: 8
出发时间：506.19,到达时间：510.71,到达区域: 6
出发时间：539.35,到达时间：552.89,到达区域: 2
出发时间：577.02,到达时间：589.66,到达区域: 6
出发时间：684.27,到达时间：690.76,到达区域: 7
出发时间：739.43,到达时间：754.47,到达区域: 9
出发时间：793.31,到达时间：806.75,到达区域: 5
出发时间：881.62,到达时间：891.53,到达区域: 6
出发时间：920.42,到达时间：934.55,到达区域:10
出发时间：997.50,到达时间：1008.20,到达区域: 4
出发时间：1089.05,到达时间：1095.38,到达区域: 2
出发时间：1152.83,到达时间：1156.12,到达区域: 9
出发时间：1253.21,到达时间：1257.67,到达区域:10
出发时间：1298.62,到达时间：1309.35,到达区域: 4
出发时间：1364.13,到达时间：1371.23,到达区域: 6
自行车序号:22,出发区域: 2
出发时间：436.33,到达时间：447.98,到达区域:10
出发时间：503.95,到达时间：512.72,到达区域: 1
出发时间：563.63,到达时间：575.23,到达区域: 9
出发时间：638.90,到达时间：643.67,到达区域:10
出发时间：692.30,到达时间：705.73,到达区域: 7
出发时间：740.57,到达时间：752.66,到达区域: 4
出发时间：827.62,到达时间：831.90,到达区域: 5
自行车序号:23,出发区域: 2
出发时间：398.11,到达时间：406.31,到达区域: 8
出发时间：499.36,到达时间：503.57,到达区域: 4
出发时间：556.69,到达时间：560.72,到达区域: 5
出发时间：650.72,到达时间：666.59,到达区域: 9
出发时间：729.62,到达时间：740.81,到达区域: 1
出发时间：807.43,到达时间：814.80,到达区域: 5
出发时间：838.19,到达时间：842.29,到达区域: 4
自行车序号:24,出发区域: 2
出发时间：391.01,到达时间：401.51,到达区域: 1
出发时间：444.94,到达时间：455.51,到达区域: 8
出发时间：479.72,到达时间：483.19,到达区域:10
出发时间：562.42,到达时间：575.82,到达区域: 6
出发时间：623.31,到达时间：628.28,到达区域: 3
出发时间：668.20,到达时间：671.87,到达区域: 8
出发时间：712.10,到达时间：722.99,到达区域: 1
自行车序号:25,出发区域: 7
出发时间：426.78,到达时间：430.99,到达区域: 8
出发时间：488.29,到达时间：500.36,到达区域: 9
出发时间：590.03,到达时间：605.64,到达区域: 5
出发时间：678.53,到达时间：682.40,到达区域: 4
出发时间：765.02,到达时间：769.10,到达区域: 5
出发时间：856.43,到达时间：870.72,到达区域:10
出发时间：934.90,到达时间：939.54,到达区域: 9
出发时间：986.82,到达时间：994.11,到达区域: 4
出发时间：1041.44,到达时间：1052.78,到达区域:10
出发时间：1142.39,到达时间：1149.99,到达区域: 1
出发时间：1230.14,到达时间：1244.06,到达区域: 3
出发时间：1333.25,到达时间：1346.45,到达区域: 4
出发时间：1352.18,到达时间：1356.16,到达区域: 5
自行车序号:26,出发区域: 8
出发时间：401.77,到达时间：414.14,到达区域: 1
出发时间：429.79,到达时间：443.09,到达区域: 9
出发时间：485.73,到达时间：490.53,到达区域: 6
出发时间：558.09,到达时间：564.85,到达区域: 4
出发时间：600.17,到达时间：607.63,到达区域: 9
自行车序号:27,出发区域: 1
出发时间：370.40,到达时间：383.71,到达区域: 3
出发时间：428.40,到达时间：441.76,到达区域: 4
出发时间：502.59,到达时间：509.55,到达区域: 9
出发时间：559.71,到达时间：573.95,到达区域: 3
出发时间：589.67,到达时间：604.97,到达区域: 9
出发时间：676.75,到达时间：689.40,到达区域: 1
出发时间：722.58,到达时间：734.54,到达区域: 8
自行车序号:28,出发区域: 8
出发时间：399.30,到达时间：409.63,到达区域: 1
出发时间：496.35,到达时间：509.47,到达区域: 3
出发时间：526.21,到达时间：539.31,到达区域: 4
出发时间：585.30,到达时间：599.87,到达区域: 3
出发时间：661.24,到达时间：665.71,到达区域: 2
出发时间：754.25,到达时间：763.55,到达区域: 8
出发时间：805.33,到达时间：817.13,到达区域: 9
自行车序号:29,出发区域: 1
出发时间：382.15,到达时间：394.26,到达区域: 8
出发时间：426.94,到达时间：435.01,到达区域: 2
出发时间：524.63,到达时间：537.37,到达区域: 6
出发时间：586.44,到达时间：598.37,到达区域: 2
出发时间：635.98,到达时间：648.11,到达区域: 6
出发时间：713.43,到达时间：718.54,到达区域: 3
自行车序号:30,出发区域: 5
出发时间：465.95,到达时间：479.56,到达区域: 2
出发时间：523.45,到达时间：532.43,到达区域: 8
出发时间：554.65,到达时间：565.12,到达区域: 1
出发时间：572.43,到达时间：583.43,到达区域: 2
出发时间：677.71,到达时间：692.05,到达区域: 5
出发时间：770.96,到达时间：782.00,到达区域: 6
出发时间：869.63,到达时间：875.30,到达区域: 9
出发时间：918.98,到达时间：925.95,到达区域: 4
出发时间：993.88,到达时间：1006.86,到达区域: 3
出发时间：1065.14,到达时间：1070.37,到达区域: 2
出发时间：1156.12,到达时间：1161.41,到达区域: 3
自行车序号:31,出发区域: 1
出发时间：466.09,到达时间：477.14,到达区域: 7
出发时间：519.81,到达时间：531.62,到达区域: 5
出发时间：628.23,到达时间：636.83,到达区域: 1
出发时间：648.07,到达时间：661.39,到达区域: 9
出发时间：715.28,到达时间：729.02,到达区域: 8
出发时间：766.59,到达时间：776.84,到达区域: 5
出发时间：786.28,到达时间：797.22,到达区域: 6
出发时间：805.78,到达时间：819.37,到达区域: 2
出发时间：897.45,到达时间：906.71,到达区域: 8
出发时间：926.98,到达时间：937.79,到达区域: 1
出发时间：979.12,到达时间：987.01,到达区域: 5
出发时间：1061.34,到达时间：1073.91,到达区域:10
出发时间：1139.33,到达时间：1143.00,到达区域: 8
出发时间：1172.92,到达时间：1181.47,到达区域: 2
出发时间：1279.63,到达时间：1286.15,到达区域: 4
出发时间：1320.71,到达时间：1324.68,到达区域: 8
出发时间：1343.32,到达时间：1355.77,到达区域: 9
自行车序号:32,出发区域: 1
出发时间：372.25,到达时间：380.13,到达区域:10
出发时间：463.86,到达时间：468.02,到达区域: 9
出发时间：507.95,到达时间：521.50,到达区域: 8
出发时间：607.38,到达时间：610.84,到达区域:10
出发时间：701.41,到达时间：715.80,到达区域: 5
出发时间：737.80,到达时间：742.08,到达区域: 4
出发时间：839.49,到达时间：843.52,到达区域: 5
出发时间：912.94,到达时间：920.97,到达区域: 1
出发时间：932.38,到达时间：945.67,到达区域: 9
出发时间：953.26,到达时间：957.55,到达区域:10
出发时间：988.76,到达时间：999.53,到达区域: 4
出发时间：1075.88,到达时间：1080.04,到达区域: 5
出发时间：1088.70,到达时间：1093.02,到达区域: 4
出发时间：1135.71,到达时间：1147.72,到达区域: 7
出发时间：1200.91,到达时间：1205.66,到达区域: 8
自行车序号:33,出发区域: 9
出发时间：399.62,到达时间：406.78,到达区域: 4
出发时间：497.82,到达时间：512.42,到达区域: 3
出发时间：551.82,到达时间：556.83,到达区域: 6
出发时间：610.59,到达时间：616.65,到达区域: 7
出发时间：624.53,到达时间：639.75,到达区域: 3
出发时间：714.52,到达时间：720.06,到达区域: 6
出发时间：775.37,到达时间：785.06,到达区域: 1
出发时间：851.23,到达时间：863.90,到达区域: 9
出发时间：912.33,到达时间：915.99,到达区域: 2
出发时间：963.43,到达时间：974.82,到达区域: 6
自行车序号:34,出发区域: 9
出发时间：455.04,到达时间：468.55,到达区域: 1
出发时间：552.45,到达时间：560.57,到达区域: 5
出发时间：636.34,到达时间：651.28,到达区域: 9
出发时间：703.77,到达时间：718.41,到达区域: 5
出发时间：730.92,到达时间：743.70,到达区域:10
自行车序号:35,出发区域: 8
出发时间：408.35,到达时间：420.05,到达区域: 9
出发时间：497.90,到达时间：510.50,到达区域: 1
出发时间：597.08,到达时间：608.16,到达区域: 2
出发时间：624.60,到达时间：638.81,到达区域: 5
出发时间：698.32,到达时间：707.38,到达区域: 3
出发时间：740.66,到达时间：754.75,到达区域: 1
出发时间：805.97,到达时间：819.52,到达区域: 3
出发时间：856.33,到达时间：863.61,到达区域:10
出发时间：886.99,到达时间：891.01,到达区域: 8
出发时间：922.77,到达时间：930.93,到达区域: 2
出发时间：1023.89,到达时间：1034.69,到达区域: 1
出发时间：1090.93,到达时间：1099.23,到达区域:10
出发时间：1106.63,到达时间：1119.82,到达区域: 7
出发时间：1142.66,到达时间：1155.05,到达区域: 4
出发时间：1179.56,到达时间：1183.58,到达区域: 5
出发时间：1248.85,到达时间：1262.25,到达区域: 7
出发时间：1324.27,到达时间：1328.59,到达区域: 8
出发时间：1378.18,到达时间：1382.76,到达区域: 4
自行车序号:36,出发区域: 5
出发时间：443.55,到达时间：447.24,到达区域: 4
出发时间：483.80,到达时间：488.35,到达区域: 8
出发时间：499.20,到达时间：511.93,到达区域: 9
出发时间：528.34,到达时间：539.90,到达区域: 8
出发时间：600.12,到达时间：612.68,到达区域: 9
出发时间：679.98,到达时间：683.42,到达区域: 2
自行车序号:37,出发区域: 8
出发时间：402.71,到达时间：406.87,到达区域: 3
出发时间：478.70,到达时间：492.04,到达区域: 1
出发时间：583.55,到达时间：593.89,到达区域: 7
出发时间：651.81,到达时间：664.61,到达区域: 5
出发时间：725.40,到达时间：736.88,到达区域: 8
出发时间：748.00,到达时间：761.88,到达区域: 9
出发时间：818.80,到达时间：833.37,到达区域: 7
出发时间：839.24,到达时间：851.31,到达区域: 4
出发时间：866.21,到达时间：872.99,到达区域: 6
出发时间：959.71,到达时间：965.44,到达区域: 7
出发时间：1055.50,到达时间：1066.82,到达区域: 5
出发时间：1078.36,到达时间：1093.03,到达区域:10
出发时间：1155.27,到达时间：1162.60,到达区域: 3
自行车序号:38,出发区域: 4
出发时间：474.89,到达时间：478.97,到达区域: 5
出发时间：529.40,到达时间：542.20,到达区域: 2
出发时间：574.44,到达时间：581.30,到达区域: 4
出发时间：651.72,到达时间：656.07,到达区域: 5
出发时间：674.85,到达时间：679.21,到达区域: 4
出发时间：758.97,到达时间：766.34,到达区域: 2
出发时间：821.48,到达时间：833.27,到达区域:10
出发时间：922.17,到达时间：926.18,到达区域: 8
自行车序号:39,出发区域: 2
出发时间：447.64,到达时间：458.78,到达区域: 7
出发时间：486.03,到达时间：490.22,到达区域: 8
出发时间：526.36,到达时间：535.12,到达区域: 2
出发时间：624.04,到达时间：631.36,到达区域: 4
出发时间：725.43,到达时间：729.88,到达区域: 5
出发时间：823.58,到达时间：834.10,到达区域: 6
出发时间：907.76,到达时间：921.63,到达区域:10
自行车序号:40,出发区域: 2
出发时间：381.59,到达时间：390.52,到达区域: 8
出发时间：489.72,到达时间：494.40,到达区域: 6
出发时间：557.46,到达时间：564.68,到达区域: 4
出发时间：587.01,到达时间：596.79,到达区域: 1
出发时间：605.11,到达时间：620.55,到达区域: 3
出发时间：662.14,到达时间：676.41,到达区域: 1
出发时间：754.24,到达时间：763.73,到达区域: 2
出发时间：794.61,到达时间：804.52,到达区域: 7
出发时间：859.27,到达时间：863.41,到达区域: 8
出发时间：924.64,到达时间：929.05,到达区域: 3
自行车序号:41,出发区域: 4
出发时间：450.50,到达时间：457.36,到达区域: 9
出发时间：496.20,到达时间：507.98,到达区域: 1
出发时间：572.11,到达时间：582.53,到达区域: 4
出发时间：632.09,到达时间：635.92,到达区域: 5
出发时间：684.51,到达时间：699.39,到达区域: 9
自行车序号:42,出发区域: 1
出发时间：463.51,到达时间：473.61,到达区域: 4
出发时间：502.95,到达时间：507.59,到达区域: 8
出发时间：564.57,到达时间：575.44,到达区域: 1
出发时间：596.89,到达时间：605.72,到达区域:10
出发时间：651.53,到达时间：654.93,到达区域: 8
出发时间：668.68,到达时间：672.77,到达区域: 4
出发时间：763.37,到达时间：775.47,到达区域: 7
出发时间：788.84,到达时间：800.52,到达区域: 1
出发时间：806.90,到达时间：816.42,到达区域: 2
出发时间：822.73,到达时间：834.31,到达区域: 6
出发时间：869.89,到达时间：878.41,到达区域: 1
出发时间：916.83,到达时间：928.36,到达区域: 4
出发时间：1008.54,到达时间：1018.62,到达区域:10
出发时间：1096.19,到达时间：1104.73,到达区域: 1
出发时间：1110.52,到达时间：1118.82,到达区域:10
自行车序号:43,出发区域: 1
出发时间：450.15,到达时间：460.87,到达区域: 7
出发时间：537.49,到达时间：549.93,到达区域: 4
出发时间：643.51,到达时间：647.94,到达区域: 5
出发时间：687.25,到达时间：697.95,到达区域: 8
出发时间：767.25,到达时间：771.41,到达区域: 4
出发时间：840.05,到达时间：854.40,到达区域: 3
出发时间：870.40,到达时间：884.06,到达区域: 9
出发时间：901.87,到达时间：906.53,到达区域:10
出发时间：976.84,到达时间：985.08,到达区域: 1
出发时间：1067.71,到达时间：1080.69,到达区域: 9
出发时间：1138.11,到达时间：1142.74,到达区域:10
出发时间：1195.44,到达时间：1199.18,到达区域: 8
出发时间：1216.21,到达时间：1220.49,到达区域: 3
出发时间：1290.96,到达时间：1303.51,到达区域: 7
出发时间：1349.08,到达时间：1361.67,到达区域: 3
自行车序号:44,出发区域: 3
出发时间：398.92,到达时间：403.55,到达区域: 2
出发时间：483.30,到达时间：491.35,到达区域: 8
出发时间：512.21,到达时间：524.32,到达区域: 9
出发时间：580.17,到达时间：584.45,到达区域:10
出发时间：662.84,到达时间：667.04,到达区域: 9
出发时间：699.25,到达时间：711.21,到达区域: 8
出发时间：807.36,到达时间：818.83,到达区域: 5
出发时间：868.58,到达时间：877.33,到达区域: 1
出发时间：893.62,到达时间：902.45,到达区域: 5
自行车序号:45,出发区域: 2
出发时间：417.09,到达时间：429.63,到达区域: 6
出发时间：524.01,到达时间：529.58,到达区域: 9
出发时间：535.86,到达时间：551.99,到达区域: 5
出发时间：631.04,到达时间：644.68,到达区域: 9
出发时间：690.12,到达时间：695.01,到达区域: 6
出发时间：742.40,到达时间：751.69,到达区域: 5
出发时间：833.08,到达时间：847.41,到达区域: 2
出发时间：893.59,到达时间：896.85,到达区域: 9
出发时间：994.34,到达时间：1006.12,到达区域: 8
出发时间：1015.29,到达时间：1028.02,到达区域: 9
自行车序号:46,出发区域: 9
出发时间：365.53,到达时间：378.45,到达区域: 1
出发时间：401.48,到达时间：411.56,到达区域: 4
出发时间：471.10,到达时间：478.49,到达区域: 6
出发时间：487.20,到达时间：493.15,到达区域: 3
出发时间：560.91,到达时间：565.86,到达区域: 6
出发时间：616.06,到达时间：620.47,到达区域: 8
出发时间：642.80,到达时间：647.58,到达区域: 7
出发时间：734.18,到达时间：748.62,到达区域: 9
出发时间：825.31,到达时间：838.73,到达区域: 3
出发时间：907.41,到达时间：921.90,到达区域: 1
出发时间：964.05,到达时间：975.46,到达区域: 4
自行车序号:47,出发区域: 9
出发时间：444.96,到达时间：452.00,到达区域: 4
出发时间：465.97,到达时间：480.25,到达区域: 3
出发时间：551.37,到达时间：565.61,到达区域: 4
出发时间：608.65,到达时间：612.44,到达区域: 5
出发时间：693.69,到达时间：706.30,到达区域:10
出发时间：743.07,到达时间：749.52,到达区域: 3
出发时间：759.38,到达时间：764.42,到达区域: 6
出发时间：807.40,到达时间：812.45,到达区域: 9
出发时间：909.49,到达时间：922.97,到达区域: 8
出发时间：978.54,到达时间：982.63,到达区域: 6
出发时间：1048.30,到达时间：1053.92,到达区域: 3
出发时间：1131.29,到达时间：1137.28,到达区域: 6
出发时间：1155.35,到达时间：1161.05,到达区域: 9
出发时间：1184.87,到达时间：1199.29,到达区域: 5
出发时间：1248.08,到达时间：1256.25,到达区域: 3
出发时间：1308.39,到达时间：1314.26,到达区域: 6
自行车序号:48,出发区域: 4
出发时间：441.56,到达时间：447.74,到达区域: 6
出发时间：536.84,到达时间：541.64,到达区域: 9
出发时间：562.94,到达时间：568.36,到达区域: 6
出发时间：629.43,到达时间：635.98,到达区域: 7
出发时间：710.03,到达时间：720.55,到达区域: 1
出发时间：813.13,到达时间：824.76,到达区域: 8
出发时间：837.43,到达时间：841.34,到达区域: 3
出发时间：936.50,到达时间：943.96,到达区域:10
出发时间：1026.48,到达时间：1041.37,到达区域: 7
出发时间：1047.01,到达时间：1051.09,到达区域: 8
出发时间：1080.55,到达时间：1084.63,到达区域: 6
出发时间：1131.86,到达时间：1141.53,到达区域: 1
出发时间：1155.51,到达时间：1164.85,到达区域: 6
出发时间：1172.64,到达时间：1181.09,到达区域: 1
